,plot,New_Source,New_Pedigree,Old_Pedigree,Old_Source,Shared,New_Family,Tester,Pass,Range,Group.1,canopy_cover
30,MIH119_1030,WIPV17/30066,Mo44_PHW65_0157/PHT69,Mo44_PHW65_0157/PHT69,WIPV17/30066,1,Mo44_PHW65,PHT69,29,3,1030,0.925233472
31,MIH119_1031,WIPV18/30657,Mo44_PHW65_0218/PHT69,Mo44_PHW65_0218/PHT69,WIPV17/30697,1,Mo44_PHW65,PHT69,28,3,1031,0.922187083
32,MIH119_1032,WIPV18/30531,Mo44_PHW65_0128/PHT69,Mo44_PHW65_0128/PHT69,WIPV17/30653,1,Mo44_PHW65,PHT69,27,3,1032,0.910299861
33,MIH119_1033,WIPV17/30648,Mo44_PHW65_0115/PHT69,Mo44_PHW65_0115/PHT69,WIPV17/30648,1,Mo44_PHW65,PHT69,26,3,1033,0.918337917
34,MIH119_1034,WIPV17/30649,Mo44_PHW65_0116/PHT69,Mo44_PHW65_0116/PHT69,WIPV17/30649,1,Mo44_PHW65,PHT69,25,3,1034,0.924659
35,MIH119_1035,WIPV18/30405,Mo44_PHW65_0475/PHT69,Mo44_PHW65_0475/PHT69,WIPV17/30156,1,Mo44_PHW65,PHT69,24,3,1035,0.918338667
36,MIH119_1036,WIPV17/30656,Mo44_PHW65_0136/PHT69,Mo44_PHW65_0136/PHT69,WIPV17/30656,1,Mo44_PHW65,PHT69,23,3,1036,0.9158755
37,MIH119_1037,WIPV18/30485,Mo44_PHW65_0001/PHT69,Mo44_PHW65_0001/PHT69,WIPV17/30001,1,Mo44_PHW65,PHT69,22,3,1037,0.9219535
38,MIH119_1038,WIPV18/30519,Mo44_PHW65_0271/PHT69,Mo44_PHW65_0271/PHT69,WIPV17/30118,1,Mo44_PHW65,PHT69,21,3,1038,0.917690333
39,MIH119_1039,WIPV18/30477,Mo44_PHW65_0155/PHT69,Mo44_PHW65_0155/PHT69,WIPV17/30665,1,Mo44_PHW65,PHT69,20,3,1039,0.876376167
40,MIH119_1040,WIPV18/30596,Mo44_PHW65_0433/PHT69,Mo44_PHW65_0433/PHT69,WIPV17/30749,1,Mo44_PHW65,PHT69,19,3,1040,0.87511375
41,MIH119_1041,WIPV18/30607,Mo44_PHW65_0175/PHT69,Mo44_PHW65_0175/PHT69,WIPV17/30677,1,Mo44_PHW65,PHT69,18,3,1041,0.902837083
42,MIH119_1042,WIPV17/30684,Mo44_PHW65_0185/PHT69,Mo44_PHW65_0193/PHT69,WIPV17/30689,NA,Mo44_PHW65,PHT69,17,3,1042,0.929962361
43,MIH119_1043,WIPV17/30016,Mo44_PHW65_0033/PHT69,Mo44_PHW65_0036/PHT69,WIPV17/30019,NA,Mo44_PHW65,PHT69,16,3,1043,0.903388333
44,MIH119_1044,WIPV18/30433,Mo44_PHW65_0073/PHT69,Mo44_PHW65_0073/PHT69,WIPV17/30632,1,Mo44_PHW65,PHT69,15,3,1044,0.901915167
45,MIH119_1045,WIPV18/30442,Mo44_PHW65_0017/PHT69,Mo44_PHW65_0017/PHT69,WIPV17/30607,1,Mo44_PHW65,PHT69,14,3,1045,0.862702083
46,MIH119_1046,WIPV17/30610,Mo44_PHW65_0024/PHT69,Mo44_PHW65_0024/PHT69,WIPV17/30610,1,Mo44_PHW65,PHT69,13,3,1046,0.9191295
47,MIH119_1047,WIPV18/30593,Mo44_PHW65_0110/PHT69,Mo44_PHW65_0110/PHT69,WIPV17/30645,1,Mo44_PHW65,PHT69,12,3,1047,0.920677667
48,MIH119_1048,WIPV17/30663,Mo44_PHW65_0151/PHT69,Mo44_PHW65_0147/PHT69,WIPV17/30661,NA,Mo44_PHW65,PHT69,11,3,1048,0.9182725
49,MIH119_1049,WIPV17/30606,Mo44_PHW65_0015/PHT69,Mo44_PHW65_0015/PHT69,WIPV17/30606,1,Mo44_PHW65,PHT69,10,3,1049,0.893484444
50,MIH119_1050,WIPV18/30484,Mo44_PHW65_0339/PHT69,Mo44_PHW65_0339/PHT69,WIPV17/30735,1,Mo44_PHW65,PHT69,9,3,1050,0.930504
51,MIH119_1051,WIPV18/30618,Mo44_PHW65_0069/PHT69,Mo44_PHW65_0069/PHT69,WIPV17/30631,1,Mo44_PHW65,PHT69,8,3,1051,0.871291667
52,MIH119_1052,WIPV17/30122,Mo44_PHW65_0296/PHT69,Mo44_PHW65_0296/PHT69,WIPV17/30122,1,Mo44_PHW65,PHT69,7,3,1052,0.8734205
53,MIH119_1053,WIPV17/30005,Mo44_PHW65_0012/PHT69,Mo44_PHW65_0012/PHT69,WIPV17/30005,1,Mo44_PHW65,PHT69,6,3,1053,0.850450278
54,MIH119_1054,WIPV18/30605,Mo44_PHW65_0179/PHT69,Mo44_PHW65_0179/PHT69,WIPV17/30681,1,Mo44_PHW65,PHT69,5,3,1054,0.8801115
55,MIH119_1055,WIPV18/30581,Mo44_PHW65_0050/PHT69,Mo44_PHW65_0050/PHT69,WIPV17/30623,1,Mo44_PHW65,PHT69,4,3,1055,0.866836167
56,MIH119_1056,WIPV18/30652,Mo44_PHW65_0150/PHT69,Mo44_PHW65_0150/PHT69,WIPV17/30662,1,Mo44_PHW65,PHT69,3,3,1056,0.874190556
57,MIH119_1057,WIPV18/30591,Mo44_PHW65_0195/PHT69,Mo44_PHW65_0195/PHT69,WIPV17/30690,1,Mo44_PHW65,PHT69,3,4,1057,0.914714583
58,MIH119_1058,WIPV17/30654,Mo44_PHW65_0134/PHT69,Mo44_PHW65_0111/PHT69,WIPV17/30646,NA,Mo44_PHW65,PHT69,4,4,1058,0.902882667
59,MIH119_1059,NA,PHW65/PHT69,PHW65/PHT69,NA,1,NA,PHT69,5,4,1059,0.896819722
60,MIH119_1060,WIPV17/30734,Mo44_PHW65_0336/PHT69,Mo44_PHW65_0350/PHT69,WIPV17/30738,NA,Mo44_PHW65,PHT69,6,4,1060,0.892885278
61,MIH119_1061,WIPV18/30498,Mo44_PHW65_0397/PHT69,Mo44_PHW65_0397/PHT69,WIPV17/30146,1,Mo44_PHW65,PHT69,7,4,1061,0.913245
62,MIH119_1062,WIPV17/30728,Mo44_PHW65_0319/PHT69,Mo44_PHW65_0237/PHT69,WIPV17/30704,NA,Mo44_PHW65,PHT69,8,4,1062,0.918462833
63,MIH119_1063,WIPV17/30810,PHN11_PHW65_0106/PHT69,PHN11_PHW65_0118/PHT69,WIPV17/30817,NA,PHN11_PHW65,PHT69,9,4,1063,0.935014861
64,MIH119_1064,WIPV17/30786,PHN11_PHW65_0069/PHT69,PHN11_PHW65_0070/PHT69,WIPV17/30787,NA,PHN11_PHW65,PHT69,10,4,1064,0.94299
65,MIH119_1065,WIPV18/30432,PHN11_PHW65_0494/PHT69,PHN11_PHW65_0494/PHT69,WIPV17/30955,1,PHN11_PHW65,PHT69,11,4,1065,0.938557
66,MIH119_1066,NA,PHW65/PHT69,PHW65/PHT69,NA,1,NA,PHT69,12,4,1066,0.9298245
67,MIH119_1067,WIPV17/30882,PHN11_PHW65_0285/PHT69,PHN11_PHW65_0285/PHT69,WIPV17/30882,1,PHN11_PHW65,PHT69,13,4,1067,0.945392083
68,MIH119_1068,WIPV18/30606,PHN11_PHW65_0604/PHT69,PHN11_PHW65_0604/PHT69,WIPV17/30366,1,PHN11_PHW65,PHT69,14,4,1068,0.897694861
69,MIH119_1069,WIPV17/30303,PHN11_PHW65_0329/PHT69,PHN11_PHW65_0344/PHT69,WIPV17/30308,NA,PHN11_PHW65,PHT69,15,4,1069,0.933544167
70,MIH119_1070,WIPV17/30950,PHN11_PHW65_0470/PHT69,PHN11_PHW65_0464/PHT69,WIPV17/30949,NA,PHN11_PHW65,PHT69,16,4,1070,0.937276528
71,MIH119_1071,WIPV17/30785,PHN11_PHW65_0066/PHT69,PHN11_PHW65_0066/PHT69,WIPV17/30785,NA,PHN11_PHW65,PHT69,17,4,1071,0.899896667
72,MIH119_1072,WIPV17/30844,PHN11_PHW65_0184/PHT69,PHN11_PHW65_0184/PHT69,WIPV17/30844,1,PHN11_PHW65,PHT69,18,4,1072,0.925493194
73,MIH119_1073,WIPV17/30901,PHN11_PHW65_0323/PHT69,PHN11_PHW65_0323/PHT69,WIPV17/30901,1,PHN11_PHW65,PHT69,19,4,1073,0.910167083
74,MIH119_1074,WIPV18/30908,PHN11_PHW65_0398/PHT69,PHN11_PHW65_0398/PHT69,WIPV17/30331,1,PHN11_PHW65,PHT69,20,4,1074,0.915654333
75,MIH119_1075,WIPV17/30903,PHN11_PHW65_0329/PHT69,PHN11_PHW65_0329/PHT69,WIPV17/30903,1,PHN11_PHW65,PHT69,21,4,1075,0.904315278
76,MIH119_1076,WIPV17/30762,PHN11_PHW65_0016/PHT69,PHN11_PHW65_0016/PHT69,WIPV17/30762,1,PHN11_PHW65,PHT69,22,4,1076,0.90871875
77,MIH119_1077,WIPV17/30772,PHN11_PHW65_0048/PHT69,PHN11_PHW65_0048/PHT69,WIPV17/30772,1,PHN11_PHW65,PHT69,23,4,1077,0.915399722
78,MIH119_1078,WIPV18/30429,PHN11_PHW65_0088/PHT69,PHN11_PHW65_0088/PHT69,WIPV17/30801,1,PHN11_PHW65,PHT69,24,4,1078,0.933891806
79,MIH119_1079,WIPV18/30454,PHN11_PHW65_0300/PHT69,PHN11_PHW65_0300/PHT69,WIPV17/30887,1,PHN11_PHW65,PHT69,25,4,1079,0.937962639
80,MIH119_1080,WIPV17/30940,PHN11_PHW65_0424/PHT69,PHN11_PHW65_0424/PHT69,WIPV17/30940,1,PHN11_PHW65,PHT69,26,4,1080,0.910818056
81,MIH119_1081,WIPV18/30497,PHN11_PHW65_0211/PHT69,PHN11_PHW65_0211/PHT69,WIPV17/30851,1,PHN11_PHW65,PHT69,27,4,1081,0.893708889
82,MIH119_1082,WIPV17/30266,PHN11_PHW65_0251/PHT69,PHN11_PHW65_0251/PHT69,WIPV17/30266,1,PHN11_PHW65,PHT69,28,4,1082,0.913424306
83,MIH119_1083,WIPV18/30572,PHN11_PHW65_0453/PHT69,PHN11_PHW65_0453/PHT69,WIPV17/30947,1,PHN11_PHW65,PHT69,29,4,1083,0.9272125
84,MIH119_1084,WIPV18/30545,PHN11_PHW65_0478/PHT69,PHN11_PHW65_0478/PHT69,WIPV17/30951,1,PHN11_PHW65,PHT69,30,4,1084,0.920154167
85,MIH119_1085,WIPV17/30820,PHN11_PHW65_0129/PHT69,PHN11_PHW65_0129/PHT69,WIPV17/30820,1,PHN11_PHW65,PHT69,30,5,1085,0.909776528
86,MIH119_1086,WIPV17/30793,PHN11_PHW65_0076/PHT69,PHN11_PHW65_0080/PHT69,WIPV17/30796,NA,PHN11_PHW65,PHT69,29,5,1086,0.914271111
87,MIH119_1087,WIPV17/30786,PHN11_PHW65_0069/PHT69,PHN11_PHW65_0069/PHT69,WIPV17/30786,1,PHN11_PHW65,PHT69,28,5,1087,0.913851528
88,MIH119_1088,WIPV18/30431,PHN11_PHW65_0343/PHT69,PHN11_PHW65_0343/PHT69,WIPV17/30907,1,PHN11_PHW65,PHT69,27,5,1088,0.899796111
89,MIH119_1089,WIPV17/30827,PHN11_PHW65_0140/PHT69,PHN11_PHW65_0140/PHT69,WIPV17/30827,1,PHN11_PHW65,PHT69,26,5,1089,0.920263667
90,MIH119_1090,WIPV17/30183,PHN11_PHW65_0064/PHT69,PHN11_PHW65_0064/PHT69,WIPV17/30183,1,PHN11_PHW65,PHT69,25,5,1090,0.912485694
91,MIH119_1091,WIPV18/30425,PHN11_PHW65_0137/PHT69,PHN11_PHW65_0137/PHT69,WIPV17/30824,1,PHN11_PHW65,PHT69,24,5,1091,0.934075972
92,MIH119_1092,NA,H95/B14A,PHG39/PHN82,NA,NA,NA,NA,23,5,1092,0.929273611
93,MIH119_1093,WIPV17/30900,PHN11_PHW65_0322/PHT69,PHN11_PHW65_0322/PHT69,WIPV17/30900,1,PHN11_PHW65,PHT69,22,5,1093,0.93150375
94,MIH119_1094,WIPV17/30273,PHN11_PHW65_0267/PHT69,PHN11_PHW65_0278/PHT69,WIPV17/30278,NA,PHN11_PHW65,PHT69,21,5,1094,0.93378125
95,MIH119_1095,WIPV17/30849,PHN11_PHW65_0206/PHT69,PHN11_PHW65_0206/PHT69,WIPV17/30849,1,PHN11_PHW65,PHT69,20,5,1095,0.93251125
96,MIH119_1096,WIPV18/30511,PHN11_PHW65_0260/PHT69,PHN11_PHW65_0260/PHT69,WIPV17/30870,1,PHN11_PHW65,PHT69,19,5,1096,0.929681167
97,MIH119_1097,WIPV17/30889,PHN11_PHW65_0302/PHT69,PHN11_PHW65_0302/PHT69,WIPV17/30889,1,PHN11_PHW65,PHT69,18,5,1097,0.902445
98,MIH119_1098,WIPV17/30913,PHN11_PHW65_0353/PHT69,PHN11_PHW65_0353/PHT69,WIPV17/30913,1,PHN11_PHW65,PHT69,17,5,1098,0.9034425
99,MIH119_1099,WIPV17/30932,PHN11_PHW65_0402/PHT69,PHN11_PHW65_0402/PHT69,WIPV17/30932,1,PHN11_PHW65,PHT69,16,5,1099,0.907404583
100,MIH119_1100,WIPV18/30534,PHN11_PHW65_0087/PHT69,PHN11_PHW65_0087/PHT69,WIPV17/30800,1,PHN11_PHW65,PHT69,15,5,1100,0.910192083
101,MIH119_1101,WIPV18/30628,PHN11_PHW65_0062/PHT69,PHN11_PHW65_0062/PHT69,WIPV17/30781,1,PHN11_PHW65,PHT69,14,5,1101,0.919558333
102,MIH119_1102,WIPV18/30723,PHN11_PHW65_0491/PHT69,PHN11_PHW65_0491/PHT69,WIPV17/30354,1,PHN11_PHW65,PHT69,13,5,1102,0.924024167
103,MIH119_1103,WIPV17/30848,PHN11_PHW65_0205/PHT69,PHN11_PHW65_0205/PHT69,WIPV17/30848,1,PHN11_PHW65,PHT69,12,5,1103,0.920072
104,MIH119_1104,WIPV17/30886,PHN11_PHW65_0294/PHT69,PHN11_PHW65_0294/PHT69,WIPV17/30886,1,PHN11_PHW65,PHT69,11,5,1104,0.932087167
105,MIH119_1105,WIPV17/30345,PHN11_PHW65_0448/PHT69,PHN11_PHW65_0448/PHT69,WIPV17/30345,1,PHN11_PHW65,PHT69,10,5,1105,0.91482875
106,MIH119_1106,NA,B37/H95,B73/PHM49,NA,NA,NA,NA,9,5,1106,0.908295833
107,MIH119_1107,NA,CG119/CG108,CG119/CG108,NA,1,NA,NA,8,5,1107,0.844536667
108,MIH119_1108,WIPV17/30247,PHN11_PHW65_0194/PHT69,PHN11_PHW65_0194/PHT69,WIPV17/30247,1,PHN11_PHW65,PHT69,7,5,1108,0.910703472
109,MIH119_1109,WIPV17/30933,PHN11_PHW65_0407/PHT69,PHN11_PHW65_0407/PHT69,WIPV17/30933,1,PHN11_PHW65,PHT69,6,5,1109,0.919468194
110,MIH119_1110,WIPV17/30902,PHN11_PHW65_0328/PHT69,PHN11_PHW65_0328/PHT69,WIPV17/30902,1,PHN11_PHW65,PHT69,5,5,1110,0.938493889
111,MIH119_1111,WIPV17/30791,PHN11_PHW65_0074/PHT69,PHN11_PHW65_0074/PHT69,WIPV17/30791,1,PHN11_PHW65,PHT69,4,5,1111,0.919453889
112,MIH119_1112,WIPV17/30914,PHN11_PHW65_0354/PHT69,PHN11_PHW65_0354/PHT69,WIPV17/30914,1,PHN11_PHW65,PHT69,3,5,1112,0.848023611
113,MIH119_1113,NA,B37/MO17,B37/MO17,NA,1,NA,NA,3,6,1113,0.886971528
114,MIH119_1114,WIPV17/30257,PHN11_PHW65_0224/PHT69,PHN11_PHW65_0216/PHT69,WIPV17/30253,NA,PHN11_PHW65,PHT69,4,6,1114,0.909948333
115,MIH119_1115,NA,CG44/CGR01,CG44/CGR01,NA,1,NA,NA,5,6,1115,0.893951667
116,MIH119_1116,WIPV17/30805,PHN11_PHW65_0096/PHT69,PHN11_PHW65_0096/PHT69,WIPV17/30805,1,PHN11_PHW65,PHT69,6,6,1116,0.9085445
117,MIH119_1117,WIPV17/30766,PHN11_PHW65_0023/PHT69,PHN11_PHW65_0023/PHT69,WIPV17/30766,1,PHN11_PHW65,PHT69,7,6,1117,0.925283611
118,MIH119_1118,NA,PHN11/PHT69,PHN11/PHT69,NA,1,NA,PHT69,8,6,1118,0.910734444
119,MIH119_1119,WIPV17/30872,PHN11_PHW65_0266/PHT69,PHN11_PHW65_0266/PHT69,WIPV17/30872,1,PHN11_PHW65,PHT69,9,6,1119,0.90025625
120,MIH119_1120,WIPV18/30625,PHN11_PHW65_0058/PHT69,PHN11_PHW65_0058/PHT69,WIPV17/30778,1,PHN11_PHW65,PHT69,10,6,1120,0.916252917
121,MIH119_1121,WIPV17/30827,PHN11_PHW65_0140/PHT69,PHN11_PHW65_0141/PHT69,WIPV17/30828,1,PHN11_PHW65,PHT69,11,6,1121,0.926308611
122,MIH119_1122,WIPV17/30237,PHN11_PHW65_0167/PHT69,PHN11_PHW65_0167/PHT69,WIPV17/30237,1,PHN11_PHW65,PHT69,12,6,1122,0.916557778
123,MIH119_1123,WIPV18/30494,PHN11_PHW65_0365/PHT69,PHN11_PHW65_0365/PHT69,WIPV17/30919,1,PHN11_PHW65,PHT69,13,6,1123,0.908794167
124,MIH119_1124,NA,B37/MO17,B14A/MO17,NA,NA,NA,NA,14,6,1124,0.912398889
125,MIH119_1125,WIPV17/30237,PHN11_PHW65_0167/PHT69,PHN11_PHW65_0154/PHT69,WIPV17/30234,NA,PHN11_PHW65,PHT69,15,6,1125,0.903936667
126,MIH119_1126,WIPV17/30811,PHN11_PHW65_0107/PHT69,PHN11_PHW65_0110/PHT69,WIPV17/30813,NA,PHN11_PHW65,PHT69,16,6,1126,0.913531167
127,MIH119_1127,WIPV17/30776,PHN11_PHW65_0056/PHT69,PHN11_PHW65_0056/PHT69,WIPV17/30776,1,PHN11_PHW65,PHT69,17,6,1127,0.919632917
128,MIH119_1128,WIPV18/30635,PHN11_PHW65_0172/PHT69,PHN11_PHW65_0172/PHT69,WIPV17/30839,1,PHN11_PHW65,PHT69,18,6,1128,0.906075278
129,MIH119_1129,WIPV18/30616,PHN11_PHW65_0288/PHT69,PHN11_PHW65_0288/PHT69,WIPV17/30884,1,PHN11_PHW65,PHT69,19,6,1129,0.887716667
130,MIH119_1130,WIPV17/30803,PHN11_PHW65_0092/PHT69,PHN11_PHW65_0089/PHT69,WIPV17/30802,NA,PHN11_PHW65,PHT69,20,6,1130,0.909377361
131,MIH119_1131,WIPV17/30799,PHN11_PHW65_0086/PHT69,PHN11_PHW65_0086/PHT69,WIPV17/30799,1,PHN11_PHW65,PHT69,21,6,1131,0.906708194
132,MIH119_1132,WIPV17/30852,PHN11_PHW65_0212/PHT69,PHN11_PHW65_0212/PHT69,WIPV17/30852,1,PHN11_PHW65,PHT69,22,6,1132,0.898905417
133,MIH119_1133,WIPV17/30255,PHN11_PHW65_0221/PHT69,PHN11_PHW65_0221/PHT69,WIPV17/30255,1,PHN11_PHW65,PHT69,23,6,1133,0.702660833
134,MIH119_1134,WIPV17/30946,PHN11_PHW65_0451/PHT69,PHN11_PHW65_0451/PHT69,WIPV17/30946,1,PHN11_PHW65,PHT69,24,6,1134,0.906255278
135,MIH119_1135,WIPV17/30890,PHN11_PHW65_0303/PHT69,PHN11_PHW65_0303/PHT69,WIPV17/30890,1,PHN11_PHW65,PHT69,25,6,1135,0.931511111
136,MIH119_1136,NA,CG119/CG108,LOCAL CHECK = LG5499VT2RIB,NA,NA,NA,NA,26,6,1136,0.8951095
137,MIH119_1137,WIPV17/30772,PHN11_PHW65_0048/PHT69,PHN11_PHW65_0042/PHT69,WIPV17/30771,NA,PHN11_PHW65,PHT69,27,6,1137,0.763000417
138,MIH119_1138,WIPV17/30249,PHN11_PHW65_0206/PHT69,PHN11_PHW65_0209/PHT69,WIPV17/30250,NA,PHN11_PHW65,PHT69,28,6,1138,0.920184583
139,MIH119_1139,WIPV17/30757,PHN11_PHW65_0001/PHT69,PHN11_PHW65_0001/PHT69,WIPV17/30757,1,PHN11_PHW65,PHT69,29,6,1139,0.915435556
140,MIH119_1140,WIPV17/30807,PHN11_PHW65_0101/PHT69,PHN11_PHW65_0101/PHT69,WIPV17/30807,1,PHN11_PHW65,PHT69,30,6,1140,0.898375
141,MIH119_1141,WIPV17/30263,PHN11_PHW65_0245/PHT69,PHN11_PHW65_0245/PHT69,WIPV17/30263,1,PHN11_PHW65,PHT69,30,7,1141,0.897090278
142,MIH119_1142,WIPV18/30533,PHN11_PHW65_0418/PHT69,PHN11_PHW65_0418/PHT69,WIPV17/30336,1,PHN11_PHW65,PHT69,29,7,1142,0.910124667
143,MIH119_1143,WIPV18/30476,PHN11_PHW65_0355/PHT69,PHN11_PHW65_0355/PHT69,WIPV17/30915,1,PHN11_PHW65,PHT69,28,7,1143,0.941071944
144,MIH119_1144,NA,B37/OH43,B37/OH43,NA,1,NA,NA,27,7,1144,0.925127
145,MIH119_1145,WIPV17/30909,PHN11_PHW65_0345/PHT69,PHN11_PHW65_0347/PHT69,WIPV17/30911,NA,PHN11_PHW65,PHT69,26,7,1145,0.910319333
146,MIH119_1146,WIPV17/30924,PHN11_PHW65_0382/PHT69,PHN11_PHW65_0382/PHT69,WIPV17/30924,1,PHN11_PHW65,PHT69,25,7,1146,0.915615833
147,MIH119_1147,WIPV17/30874,PHN11_PHW65_0274/PHT69,PHN11_PHW65_0274/PHT69,WIPV17/30874,1,PHN11_PHW65,PHT69,24,7,1147,0.910461111
148,MIH119_1148,WIPV17/30808,PHN11_PHW65_0103/PHT69,PHN11_PHW65_0103/PHT69,WIPV17/30808,1,PHN11_PHW65,PHT69,23,7,1148,0.878753667
149,MIH119_1149,WIPV17/30354,PHN11_PHW65_0491/PHT69,PHN11_PHW65_0481/PHT69,WIPV17/30352,NA,PHN11_PHW65,PHT69,22,7,1149,0.828021389
150,MIH119_1150,WIPV18/30525,PHN11_PHW65_0455/PHT69,PHN11_PHW65_0455/PHT69,WIPV17/30948,1,PHN11_PHW65,PHT69,21,7,1150,0.927443833
151,MIH119_1151,WIPV17/30870,PHN11_PHW65_0260/PHT69,PHN11_PHW65_0261/PHT69,WIPV17/30871,NA,PHN11_PHW65,PHT69,20,7,1151,0.920019583
152,MIH119_1152,WIPV17/30888,PHN11_PHW65_0301/PHT69,PHN11_PHW65_0301/PHT69,WIPV17/30888,1,PHN11_PHW65,PHT69,19,7,1152,0.93402125
153,MIH119_1153,WIPV17/30966,PHN11_PHW65_0604/PHT69,PHN11_PHW65_0626/PHT69,WIPV17/30969,NA,PHN11_PHW65,PHT69,18,7,1153,0.930506833
