,plot,Pass,Range,Rep,New_Pedigree,Old_Pedigree,Old_Source,Shared,RPlant.L2.End.Angle,RPlant.L2.End.Length,RPlant.L2.Mid.Angle,RPlant.L2.Mid.Length,RPlant.L2.Stem.Angle,A1,N1,A2,N2,a,b,c,d,total_blade_length,upblade_length,downblade_length,curled
11,MIH119_1012,14,2,1,B37/H95,B14A/H95,,,48.0,57.0,32.0,71.0,14.0,0.017174167929328576,2.25,-0.7529653766766766,2.1723760400032543,37.62426776055755,42.35925505221147,60.211414827106246,38.14044456245492,98.10435953936084,75.06786877511814,23.036490764242707,0.0
12,MIH119_1013,15,2,1,B37/MO17,B37/MO17,,1.0,57.0,60.0,40.0,69.0,24.0,0.041614431807819326,1.884648628593635,-1.0518555898895783,1.6536520992182242,44.352345068371214,50.32023407672544,52.85706657520948,32.67834210090162,93.09174665550965,71.78290865952863,21.30883799598102,0.0
13,MIH119_1014,16,2,1,B37/MO17,B14A/MO17,,,55.0,89.0,25.0,78.0,25.0,2.1445069205095586,1.0,-0.4918265724632894,1.0,32.96422441577456,72.90453194172026,70.6920073888587,51.0483028352431,122.50958653882165,78.0,44.50958653882165,0.0
14,MIH119_1015,17,2,1,B37/MO17,B37/MO17,,1.0,90.0,49.0,45.0,43.0,30.0,0.08211126136596253,1.732050807568877,-0.3808240524903717,1.498546961955696,30.405591591021544,49.0,30.40559159102154,0.0,80.55611993493625,44.32656117444431,36.22955876049195,0.0
15,MIH119_1016,18,2,1,B37/MO17,B14A/MO17,,,70.0,54.0,35.0,56.0,30.0,0.6825556447652609,1.2127950320219432,-1.5701583322983028,0.9778032466058266,32.120280435658586,50.74340152243906,45.87251448018354,18.46908773958611,89.36881805336787,56.23446021547782,33.13435783789006,0.0
17,MIH119_1018,20,2,1,B37/OH43,B14A/OH43,,,75.0,51.0,40.0,54.0,25.0,0.06992895981575174,1.7994549660566952,-0.3837734797717345,1.6042983371881006,34.71053092307312,49.262217140742486,41.36639992842481,13.199771300228559,88.24661728614535,55.91326506039288,32.33335222575247,0.0
18,MIH119_1019,21,2,1,B37/OH43,B37/OH43,,1.0,75.0,58.0,45.0,58.0,35.0,0.2039081177904972,1.4281480067421146,-1.0012340907501371,1.2023292228375457,41.01219330881976,56.02369792476596,41.012193308819754,15.011504615946203,88.94966203739443,58.825948586789075,30.123713450605358,0.0
19,MIH119_1020,22,2,1,B37/OH43,B14A/OH43,,,90.0,47.0,50.0,53.0,20.0,0.008187498529628431,2.25,-0.7941526061920892,2.0249675042921442,40.60035548530583,47.0,34.06774331338658,0.0,91.07669533574165,55.9211211035437,35.15557423219794,0.0
20,MIH119_1021,23,2,1,CG119/CG108,CG119/CG108,,1.0,60.0,57.0,35.0,63.0,25.0,0.23621895265499077,1.5015999114836838,-0.8812080104575798,1.2649657259471536,36.13531549011591,49.363448015713004,51.606578790206484,28.499999999999996,90.88811618855912,64.11787457665164,26.770241611907476,0.0
21,MIH119_1022,24,2,1,CG119/CG108,LOCAL CHECK = LG5499VT2RIB,,,80.0,53.0,30.0,44.0,35.0,0.7184974397095653,1.212795032021943,-1.1239902936364563,0.9631856168658915,25.23736319944603,52.194810909647025,36.04268994871564,9.203353416347307,82.23098396193207,44.184218740732575,38.0467652211995,0.0
22,MIH119_1023,25,2,1,CG119/CG108,LOCAL CHECK = LG5499VT2RIB,,,75.0,53.0,40.0,52.0,25.0,0.07207098669158735,1.7994549660566956,-0.3020207491595043,1.549922346027501,33.42495570370005,51.19406879332062,39.834311042186854,13.717409390433598,86.06831506889725,53.84240339148945,32.22591167740781,0.0
23,MIH119_1024,26,2,1,CG119/CG108,CG119/CG108,,1.0,50.0,40.0,25.0,48.0,25.0,2.1445069205095586,1.0,-1.717950521470819,1.0,20.285676563553572,30.64177772475912,43.502773777759195,25.71150438746157,68.58587131455124,48.00000000000001,20.585871314551248,0.0
24,MIH119_1025,27,2,1,CG44/CGR01,CG44/CGR01,,1.0,85.0,35.0,45.0,46.0,25.0,0.018587783746040754,2.1445069205095586,0.0,0.0,32.526911934581186,34.8668144332111,32.526911934581186,3.0504509961680357,48.46443416720673,48.46443416720673,0.0,1.0
25,MIH119_1026,28,2,1,CG44/CGR01,CG44/CGR01,,1.0,75.0,56.0,45.0,55.0,30.0,0.06857261530181327,1.7320508075688772,-0.4320612012049282,1.482218181658289,38.890872965260115,54.09184627218782,38.89087296526011,14.493866525741161,85.8974877871988,56.69676429289388,29.20072349430491,0.0
26,MIH119_1027,29,2,1,CGR01/CG44,PHW52/PHN82,,,125.0,57.0,60.0,46.0,40.0,0.011440577840906031,2.0641777724759125,-23.005224407007837,0.45932057946740407,39.83716857408418,46.69166652447253,22.999999999999996,-32.693856872009626,103.84276524702697,47.55916806662847,56.28359718039849,0.0
27,MIH119_1028,30,2,1,CGR01/CG44,PHW52/PHN82,,,70.0,64.0,35.0,35.0,35.0,1.428148006742115,0.9999999999999999,-0.1692501328774044,1.0,20.075175272286614,60.14032773029814,28.670321550114714,21.889289172842798,75.63494606352172,35.000000000000014,40.6349460635217,0.0
28,MIH119_1029,30,3,1,F42/OH43,F42/OH43,,,90.0,52.0,45.0,42.0,40.0,0.5219127523288488,1.1917535925942102,-1.5843078312885677,0.9440497486831724,29.698484809834998,52.0,29.698484809834994,0.0,79.30912072804651,42.15564069517348,37.15348003287301,0.0
29,MIH119_1030,29,3,1,F42/OH43,F42/H95,,1.0,90.0,45.0,35.0,42.0,30.0,0.7256453307695893,1.212795032021943,-1.747326606904061,0.9802249772864272,24.09021032674394,45.0,34.40438586013766,0.0,82.4375626903716,42.17584516160836,40.26171752876325,0.0
30,MIH119_1031,28,3,1,F42/OH43,F42/MO17,,,60.0,51.0,40.0,54.0,25.0,0.06992895981575174,1.7994549660566952,-0.43738126856046644,1.598391057346573,34.71053092307312,44.16729559300637,41.36639992842481,25.499999999999996,74.78120350393536,55.91326506039288,18.86793844354249,0.0
31,MIH119_1032,27,3,1,F42/OH43,F42/MO17,,,90.0,63.0,50.0,47.0,45.0,0.42206318946711807,1.19175359259421,-1.3127840763902061,0.9515642888541657,36.00408882659197,63.0,30.211017655267344,0.0,87.69219313696796,47.164864666791125,40.52732847017684,0.0
32,MIH119_1033,26,3,1,F42/OH43,F42/H95,,,70.0,45.0,35.0,42.0,20.0,0.07554796998207094,1.923804400163087,-0.12961846992059317,1.7193951086330783,24.09021032674394,42.28616793536588,34.40438586013766,15.390906449655093,70.86383385198297,43.74514021627799,27.11869363570498,0.0
33,MIH119_1034,25,3,1,F42/OH43,F42/OH43,,1.0,70.0,61.0,35.0,62.0,20.0,0.052719138723582006,1.923804400163087,-0.14524943717095995,1.7298318474171381,35.56173905376486,57.321249867940416,50.78742674591749,20.863228742865793,102.71632041501357,64.57615936688656,38.14016104812701,0.0
34,MIH119_1035,24,3,1,H95/B14A,PHG39/PHN82,,,70.0,44.0,40.0,49.0,25.0,0.07557744621430453,1.7994549660566952,-0.5699706296024135,1.6066386038700147,31.496592874640427,41.34647531457997,37.536177712829925,15.048886306329424,75.71287589603132,50.73611088813428,24.976765007897047,0.0
35,MIH119_1036,23,3,1,H95/B14A,PHG39/PHN82,,,60.0,58.0,40.0,59.0,20.0,0.012663013920847854,2.25,-0.1041721768935789,2.010558070953641,37.924468971505824,50.229473419497445,45.196622144019706,28.999999999999996,83.87556787356064,62.5755900097148,21.29997786384585,0.0
36,MIH119_1037,22,3,1,Mo44/PHT69,Mo44/PHT69,,,70.0,57.0,40.0,52.0,30.0,0.2427889103663997,1.4533631938113547,-0.5175878599700322,1.222654584614952,33.42495570370005,53.56247938479678,39.834311042186854,19.495148169563116,81.58076284408362,52.820716871294906,28.76004597278871,0.0
37,MIH119_1038,21,3,1,Mo44/PHT69,Mo44/PHT69,,1.0,80.0,62.0,45.0,58.0,30.0,0.06595773582857792,1.732050807568877,-0.34873105291528717,1.4885866179995335,41.01219330881976,61.058080686756895,41.012193308819754,10.766187015349681,96.68010372805237,59.78931507250628,36.89078865554609,0.0
38,MIH119_1039,20,3,1,Mo44_PHW65_0001/PHT69,Mo44_PHW65_0001/PHT69,WIPV17/30001,1.0,45.0,57.0,20.0,61.0,20.0,2.7474774194546216,1.0,-0.8752334025218138,1.0,20.863228742865797,40.305086527633215,57.32124986794041,40.30508652763321,86.83671126415156,61.0,25.836711264151557,0.0
39,MIH119_1040,19,3,1,Mo44_PHW65_0009/PHT69,Mo44_PHW65_0009/PHT69,WIPV17/30602,1.0,65.0,45.0,40.0,53.0,25.0,0.07098179143713522,1.7994549660566954,-1.126790593425583,1.5502743436053503,34.067743313386586,40.783850416649244,40.60035548530583,19.017821778331474,77.71008670350376,54.877834225941164,22.832252477562598,0.0
40,MIH119_1041,18,3,1,Mo44_PHW65_0011/PHT69,Mo44_PHW65_0010/PHT69,WIPV17/30603,,75.0,51.0,40.0,53.0,25.0,0.07098179143713522,1.7994549660566954,-0.3554246039933508,1.5968818013044257,34.067743313386586,49.262217140742486,40.60035548530583,13.199771300228559,86.85153265415757,54.877834225941164,31.9736984282164,0.0
41,MIH119_1042,17,3,1,Mo44_PHW65_0012/PHT69,Mo44_PHW65_0012/PHT69,WIPV17/30005,1.0,90.0,65.0,40.0,41.0,35.0,0.6227999589984611,1.1983584657238757,-0.9419970907634996,0.9596037079172401,26.354291997148113,65.0,31.4078221678781,0.0,90.9700415900064,41.16094213054056,49.80909945946584,0.0
42,MIH119_1043,16,3,1,Mo44_PHW65_0012/PHT69,Mo44_PHW65_0037/PHT69,WIPV17/30620,,65.0,43.0,25.0,53.0,25.0,2.144506920509557,1.0000000000000002,-1.8018878849826299,1.0,22.39876787225707,38.971234842575946,48.034312712942445,18.172585254850077,87.15215115133594,53.0,34.15215115133596,0.0
43,MIH119_1044,15,3,1,Mo44_PHW65_0015/PHT69,Mo44_PHW65_0015/PHT69,WIPV17/30606,1.0,80.0,46.0,35.0,42.0,30.0,0.7256453307695893,1.212795032021943,-1.3624856929401783,0.9705889125659785,24.09021032674394,45.30115663856157,34.40438586013766,7.987816172678795,76.05767994320183,42.17584516160836,33.881834781593476,0.0
45,MIH119_1046,13,3,1,Mo44_PHW65_0017/PHT69,Mo44_PHW65_0017/PHT69,WIPV17/30607,1.0,75.0,51.0,45.0,57.0,25.0,0.01454301770344096,2.144506920509559,-0.3407256319497594,1.9961265720727168,40.305086527633215,49.262217140742486,40.30508652763321,13.199771300228559,89.3724602391141,60.053755381104,29.318704858010104,0.0
46,MIH119_1047,12,3,1,Mo44_PHW65_0020/PHT69,Mo44_PHW65_0020/PHT69,WIPV17/30608,1.0,65.0,65.0,30.0,57.0,25.0,0.7800384730759606,1.2381316478352096,-0.7200696353215326,0.9999456843474057,28.500000000000007,58.91000615738225,49.363448015713,27.470187013145463,94.72899179328606,57.25789155937479,37.47110023391127,0.0
47,MIH119_1048,11,3,1,Mo44_PHW65_0024/PHT69,Mo44_PHW65_0024/PHT69,WIPV17/30610,1.0,55.0,47.0,20.0,63.0,20.0,2.7474774194546216,1.0,-1.9018920801460508,1.0,21.547269029517135,38.50014608158261,59.20063510951223,26.958092508499163,99.42775856020504,63.0,36.427758560205035,0.0
48,MIH119_1049,10,3,1,Mo44_PHW65_0025/PHT69,Mo44_PHW65_0025/PHT69,WIPV17/30011,1.0,90.0,44.0,35.0,40.0,40.0,0.6258579089788519,1.1983584657238757,-1.8474408109755907,0.9663798938349423,25.711504387461574,44.0,30.64177772475912,0.0,75.84550579722551,40.15701671272249,35.688489084503026,0.0
49,MIH119_1050,9,3,1,Mo44_PHW65_0029/PHT69,Mo44_PHW65_0029/PHT69,WIPV17/30014,1.0,80.0,63.0,55.0,54.0,30.0,0.006138028955933969,2.25,-0.05403061978868633,2.054251795723096,44.23421039160556,62.04288843976911,30.973127562956485,10.939835193016611,84.77919661584983,56.64030255494738,28.138894060902448,0.0
50,MIH119_1051,8,3,1,Mo44_PHW65_0031/PHT69,Mo44_PHW65_0031/PHT69,WIPV17/30015,1.0,65.0,45.0,45.0,54.0,25.0,0.015471371319153226,2.144506920509559,0.0,0.0,38.18376618407357,40.783850416649244,38.18376618407356,19.017821778331474,56.893031413677456,56.893031413677456,0.0,1.0
51,MIH119_1052,7,3,1,Mo44_PHW65_0033/PHT69,Mo44_PHW65_0033/PHT69,WIPV17/30616,1.0,75.0,49.0,40.0,49.0,30.0,0.24941864151210558,1.4533631938113545,-0.8581829859563637,1.2186030152476925,31.496592874640427,47.33036548816435,37.536177712829925,12.682133210023515,79.36516699790965,49.7733678210279,29.591799176881757,0.0
52,MIH119_1053,6,3,1,Mo44_PHW65_0033/PHT69,Mo44_PHW65_0036/PHT69,WIPV17/30019,,80.0,52.0,45.0,46.0,40.0,0.5128873690132264,1.19175359259421,-1.466250921487773,0.9475867226606182,32.526911934581186,51.21000315663482,32.526911934581186,9.029705238680377,76.20012702823018,46.17046361852334,30.029663409706842,0.0
53,MIH119_1054,5,3,1,Mo44_PHW65_0034/PHT69,Mo44_PHW65_0034/PHT69,WIPV17/30017,1.0,50.0,42.0,30.0,49.0,25.0,0.8086418588615828,1.2381316478352096,-1.9883608799207912,1.0057470570603695,24.500000000000007,32.173866610997074,42.43524478543749,26.99707960683465,66.46196051377464,49.22169625279587,17.24026426097877,0.0
54,MIH119_1055,4,3,1,Mo44_PHW65_0035/PHT69,Mo44_PHW65_0035/PHT69,WIPV17/30618,1.0,75.0,55.0,45.0,51.0,30.0,0.07246970597905143,1.7320508075688767,-0.3137908287754102,1.4953415884534889,36.062445840513924,53.12592044589876,36.062445840513924,14.235047480638642,80.77539723447865,52.57336325341069,28.20203398106796,0.0
55,MIH119_1056,3,3,1,Mo44_PHW65_0042/PHT69,Mo44_PHW65_0042/PHT69,WIPV17/30021,1.0,90.0,62.0,55.0,53.0,40.0,0.04961378734917807,1.7020005177911752,-0.4070586755493015,1.4759434442620087,43.41505834731657,62.0,30.39955112660544,0.0,90.447892333211,54.269974789878084,36.1779175433329,0.0
56,MIH119_1057,3,4,1,Mo44_PHW65_0050/PHT69,Mo44_PHW65_0050/PHT69,WIPV17/30623,1.0,85.0,56.0,47.0,43.0,22.0,0.01252163289789601,2.25,-0.03700393604955434,2.0341566530923156,31.44820916962433,55.78690309313775,29.325929482687435,4.8807215938688575,81.62639052494328,45.48591123914168,36.1404792858016,0.0
57,MIH119_1058,4,4,1,Mo44_PHW65_0056/PHT69,Mo44_PHW65_0056/PHT69,WIPV17/30625,1.0,60.0,47.0,35.0,48.0,25.0,0.2707405732283502,1.5015999114836842,-0.6138449331612456,1.260345735275382,27.531668944850217,40.70319397786862,39.319298125871605,23.499999999999996,69.56713096435278,48.851713963163164,20.715417001189618,0.0
58,MIH119_1059,5,4,1,Mo44_PHW65_0060/PHT69,Mo44_PHW65_0060/PHT69,WIPV17/30626,1.0,62.0,51.0,30.0,52.0,15.0,0.0402429807266154,2.1547005383792524,-0.06604243048756027,1.9572991880848445,26.000000000000007,45.030327235805274,45.033320996790806,23.94304970208043,84.29404633176352,54.629059053605275,29.664987278158257,0.0
59,MIH119_1060,6,4,1,Mo44_PHW65_0063/PHT69,Mo44_PHW65_0063/PHT69,WIPV17/30627,1.0,30.0,42.0,8.0,55.0,10.0,3.1925214216109397,1.2546316597724363,-1.5303592234607297,1.0062665551496175,9.550649771681172,21.000000000000004,54.16442641567144,36.373066958946424,76.20904742455465,55.0519285491444,21.157118875410255,0.0
60,MIH119_1061,7,4,1,Mo44_PHW65_0067/PHT69,Mo44_PHW65_0067/PHT69,WIPV17/30629,1.0,60.0,71.0,40.0,68.0,28.0,0.13419661120211424,1.5781168834174566,-0.3455547359549695,1.345204578626594,43.70955745868468,61.48780366869515,52.09102213209051,35.49999999999999,94.10214578261348,69.54335057669898,24.55879520591448,0.0
61,MIH119_1062,8,4,1,Mo44_PHW65_0069/PHT69,Mo44_PHW65_0069/PHT69,WIPV17/30631,1.0,68.0,61.0,40.0,42.0,20.0,0.019366024897700854,2.25,-0.005060646764692968,2.220232861300342,26.997079606834653,56.558215128574034,32.173866610997074,22.851002198370633,76.08301166396666,44.54533526115291,31.537676402813755,0.0
62,MIH119_1063,9,4,1,Mo44_PHW65_0073/PHT69,Mo44_PHW65_0073/PHT69,WIPV17/30632,1.0,62.0,62.0,44.0,63.0,30.0,0.08152951595199787,1.6726220222647923,-0.5154124718160794,1.4392633545775004,43.763477338916836,54.742750757253475,45.31840742133502,29.10723689272523,84.60610464406814,64.74803212344473,19.858072520623402,0.0
63,MIH119_1064,10,4,1,Mo44_PHW65_0074/PHT69,Mo44_PHW65_0068/PHT69,WIPV17/30030,,65.0,59.0,40.0,54.0,21.0,0.017754496928799178,2.1859292733685347,-0.049498939074399596,1.9800132199203815,34.71053092307312,53.47215943516235,41.36639992842481,24.93447744270127,83.08676634476485,57.08674405648449,26.000022288280363,0.0
64,MIH119_1065,11,4,1,Mo44_PHW65_0084/PHT69,Mo44_PHW65_0080/PHT69,WIPV17/30634,,55.0,63.0,35.0,64.0,22.0,0.1017839593773068,1.7330744724858405,-0.29014332347309624,1.491169959911263,36.708891926466954,51.606578790206484,52.425730834495475,36.1353154901159,88.43437723530499,65.96589340737755,22.468483827927436,0.0
65,MIH119_1066,12,4,1,Mo44_PHW65_0084/PHT69,Mo44_PHW65_0083/PHT69,WIPV17/30635,,55.0,57.0,35.0,59.0,20.0,0.055190808443526716,1.9238044001630872,-0.19585516985572493,1.7153488510037738,33.84100974471173,46.69166652447253,48.32997061305051,32.693856872009626,82.3090635182618,61.45150649429527,20.857557023966514,0.0
66,MIH119_1067,13,4,1,Mo44_PHW65_0084/PHT69,Mo44_PHW65_0084/PHT69,WIPV17/30636,1.0,88.0,58.0,50.0,56.0,25.0,0.0076429503484394205,2.25,-0.11837874617622478,2.0864516365976,42.89848881466277,57.96466796710755,35.996106142446195,2.024170808745056,97.72428684804474,59.086467581102774,38.63781926694197,0.0
67,MIH119_1068,14,4,1,Mo44_PHW65_0084/PHT69,Mo44_PHW65_0242/PHT69,WIPV17/30105,,80.0,58.0,40.0,52.0,25.0,0.07207098669158735,1.7994549660566956,-0.20954181711944805,1.5657971821530525,33.42495570370005,57.118849674708066,39.834311042186854,10.071594304681959,92.71797519197979,53.84240339148945,38.87557180049035,0.0
68,MIH119_1069,15,4,1,Mo44_PHW65_0092/PHT69,Mo44_PHW65_0092/PHT69,WIPV17/30637,1.0,65.0,60.0,35.0,58.0,30.0,0.6774778076656656,1.2127950320219432,-1.1390980808999982,0.9731040774125576,33.26743330836068,54.378467222199,47.51081856876152,25.357095704441967,88.84731842901652,58.24283379460202,30.604484634414497,0.0
69,MIH119_1070,16,4,1,Mo44_PHW65_0093/PHT69,Mo44_PHW65_0093/PHT69,WIPV17/30038,1.0,75.0,62.0,45.0,53.0,35.0,0.21193243093789202,1.4281480067421146,-0.5119788731963808,1.200903540340421,37.47665940288702,59.88740122992223,37.476659402887016,16.046780796356288,84.8862676123698,53.754746122410694,31.131521489959106,0.0
70,MIH119_1071,17,4,1,Mo44_PHW65_0098/PHT69,Mo44_PHW65_0098/PHT69,WIPV17/30639,1.0,70.0,59.0,40.0,63.0,21.0,0.014788162478783715,2.185929273368535,-0.12042081213818247,2.015883999878968,40.49561941025198,55.4418646263686,48.260799916495614,20.179188456214455,99.73116066477111,66.60120139923193,33.12995926553919,0.0
71,MIH119_1072,18,4,1,Mo44_PHW65_0099/PHT69,Mo44_PHW65_0099/PHT69,WIPV17/30640,1.0,81.0,51.0,47.0,48.0,30.0,0.04412261449952859,1.8573970902098464,-0.2696900766253307,1.6581493364123525,35.104977677720186,50.372105370352024,32.735921282999925,7.978157717051774,79.59471506132083,49.776886990976315,29.817828070344518,0.0
72,MIH119_1073,19,4,1,Mo44_PHW65_0104/PHT69,Mo44_PHW65_0104/PHT69,WIPV17/30643,1.0,60.0,58.0,40.0,62.0,30.0,0.22418016349357978,1.4533631938113547,-1.0517520465417571,1.2254582680153039,39.85283180056544,50.229473419497445,47.494755473376635,28.999999999999996,84.27018587264155,62.978547038851616,21.29163883378993,0.0
73,MIH119_1074,20,4,1,Mo44_PHW65_0105/PHT69,Mo44_PHW65_0105/PHT69,WIPV17/30644,1.0,70.0,54.0,42.0,54.0,30.0,0.14922580924337273,1.5595455520643564,-0.6221546845568825,1.3237975012076466,36.13305274337834,50.74340152243906,40.129820575779284,18.46908773958611,81.51974540490085,55.16744287392938,26.352302530971475,0.0
75,MIH119_1076,22,4,1,Mo44_PHW65_0110/PHT69,Mo44_PHW65_0110/PHT69,WIPV17/30645,1.0,65.0,57.0,40.0,55.5,25.0,0.06841387267678335,1.7994549660566956,-0.23650017137307877,1.5714814777798805,35.674712337602934,51.65954386108905,42.51546659310328,24.08924091921987,82.40454482294392,57.46641131207045,24.93813351087346,0.0
76,MIH119_1077,23,4,1,Mo44_PHW65_0113/PHT69,Mo44_PHW65_0113/PHT69,WIPV17/30647,1.0,72.0,55.0,39.0,51.0,23.0,0.052989003952103264,1.9077316304087586,-0.13599532734686332,1.7013479961134303,32.09533994354171,52.30810839623344,39.63444403430551,16.995934690622107,84.37269021146929,53.122223902338646,31.250466309130644,0.0
77,MIH119_1078,24,4,1,Mo44_PHW65_0115/PHT69,Mo44_PHW65_0115/PHT69,WIPV17/30648,1.0,65.0,64.0,40.0,65.0,30.0,0.2194286913339751,1.4533631938113545,-0.7897601512262781,1.2059955942269904,41.781194629625055,58.003698370345596,49.79288880273357,27.047568751404764,94.07495038322,66.02589608911862,28.049054294101364,0.0
78,MIH119_1079,25,4,1,Mo44_PHW65_0116/PHT69,Mo44_PHW65_0116/PHT69,WIPV17/30649,1.0,80.0,51.0,40.0,52.0,30.0,0.2427889103663997,1.4533631938113547,-0.9966118804191446,1.2180788561990588,33.42495570370005,50.22519540362261,39.834311042186854,8.856057061013447,88.18990783138014,52.820716871294906,35.369190960085234,0.0
79,MIH119_1080,26,4,1,Mo44_PHW65_0118/PHT69,Mo44_PHW65_0118/PHT69,WIPV17/30050,1.0,57.0,59.0,45.0,63.5,25.0,0.012852228904607998,2.144506920509559,-0.7101359580594166,1.898595268859377,44.90128060534577,49.48156350878002,44.90128060534576,32.13370306588659,80.81249589759538,66.90199064386145,13.91050525373393,0.0
80,MIH119_1081,27,4,1,Mo44_PHW65_0120/PHT69,Mo44_PHW65_0120/PHT69,WIPV17/30651,1.0,80.0,52.0,55.0,53.0,28.0,0.006283133618950857,2.25,-0.308095769820075,2.0644636966167,43.41505834731657,51.21000315663482,30.39955112660544,9.029705238680377,79.08032323523918,55.5914080631891,23.488915172050067,0.0
81,MIH119_1082,28,4,1,Mo44_PHW65_0128/PHT69,Mo44_PHW65_0135/PHT69,WIPV17/30655,,90.0,52.0,35.0,27.5,40.0,0.6741461860352644,1.198358465723876,-0.7319720806819484,0.950183688443582,17.676659266379833,52.0,21.066222185771895,0.0,67.89101530346929,27.607948989996718,40.283066313472574,0.0
82,MIH119_1083,29,4,1,Mo44_PHW65_0128/PHT69,Mo44_PHW65_0128/PHT69,WIPV17/30653,1.0,90.0,67.0,53.0,37.0,33.0,0.02201098612589164,2.043469826224842,-0.030118641079350316,1.8232646574691278,29.549513871749834,67.0,22.267155856625784,0.0,83.22665976402662,38.55122311596121,44.67543664806541,0.0
83,MIH119_1084,30,4,1,Mo44_PHW65_0134/PHT69,Mo44_PHW65_0134/PHT69,WIPV17/30654,1.0,90.0,63.0,50.0,39.0,40.0,0.2012665575962244,1.4202766254612063,-0.38954279852175705,1.1897387481777082,29.87573328164014,63.0,25.06871677777503,0.0,81.18040765322314,39.5044910760832,41.675916577139944,0.0
84,MIH119_1085,30,5,1,Mo44_PHW65_0134/PHT69,Mo44_PHW65_0111/PHT69,WIPV17/30646,,80.0,59.0,45.0,52.0,28.0,0.04180545770628993,1.8807264653463323,-0.17594803171026557,1.6389298030913397,36.76955262170048,58.10365742772027,36.76955262170047,10.245242482348889,88.96487195137617,54.03703653706169,34.92783541431448,0.0
85,MIH119_1086,29,5,1,Mo44_PHW65_0136/PHT69,Mo44_PHW65_0136/PHT69,WIPV17/30656,1.0,65.0,53.0,30.0,51.0,20.0,0.2593981313100142,1.5862568277145448,-0.32564626940796165,1.3490709368944815,25.500000000000007,48.034312712942445,44.167295593006365,22.39876787225707,83.69562002574175,52.04385557731831,31.65176444842343,0.0
86,MIH119_1087,28,5,1,Mo44_PHW65_0139/PHT69,Mo44_PHW65_0139/PHT69,WIPV17/30657,1.0,90.0,42.0,50.0,42.0,20.0,0.010950512846471024,2.25,-0.26537750458559517,2.022861514492223,32.173866610997074,42.0,26.99707960683465,0.0,73.93184176812258,44.314850685827075,29.616991082295513,0.0
