plot,Pass,Range,Rep,New_Pedigree,Old_Pedigree,Old_Source,Shared,End.Angle,End.Length,Mid.Angle,Mid.Length,Stem.Angle,A1,N1,A2,N2,a,b,c,d,model_leaf_length
MIH119_1039,20,3,1,Mo44_PHW65_0001/PHT69,Mo44_PHW65_0001/PHT69,WIPV17/30001,1.0,84.5,60.0,47.0,56.0,29.0,0.1173198689826252,2.02098054903285,-0.6363726508262764,1.3864395554853872,40.56741422137742,59.5171035318417,37.996361066933886,5.967311179970887,96.17634186118224
MIH119_1040,19,3,1,Mo44_PHW65_0009/PHT69,Mo44_PHW65_0009/PHT69,WIPV17/30602,1.0,67.5,62.0,37.5,67.5,21.5,0.11442411647870881,2.0420415162039123,-0.5340840659380269,1.6708255905661158,41.00037817376689,57.2760898931232,53.540212150896494,23.58289337943487,105.77259821195446
MIH119_1041,18,3,1,Mo44_PHW65_0011/PHT69,Mo44_PHW65_0010/PHT69,WIPV17/30603,,57.5,62.0,35.0,57.0,23.5,0.16038846580337834,1.670895416786383,-0.28223586927506017,3.2695342055964796,32.64084068090965,50.7019027017471,46.46400015641464,33.07056461667001,82.97292309902723
MIH119_1042,17,3,1,Mo44_PHW65_0012/PHT69,Mo44_PHW65_0012/PHT69,WIPV17/30005,1.0,103.5,60.0,46.0,47.5,30.0,0.5959078710315697,2.2583053663351884,-0.38366891063594744,1.7893522168921967,34.453436345955545,54.45371941536944,32.32677091773182,-12.319350524418308,100.93503783804948
MIH119_1043,16,3,1,Mo44_PHW65_0012/PHT69,Mo44_PHW65_0037/PHT69,WIPV17/30620,,69.0,64.5,35.5,67.0,21.0,0.12054646450662514,1.8689085021663125,-0.19363682177652594,1.7811025218318042,38.96206601466777,60.18487598924098,54.127648228899055,23.168238547573907,108.46780124408397
MIH119_1045,14,3,1,Mo44_PHW65_0015/PHT69,Mo44_PHW65_0023/PHT69,WIPV17/30009,,75.0,64.0,45.0,58.0,23.0,0.0065032147993696115,2.3558523658237536,-0.055615515818019406,2.005023429775373,41.012193308819754,61.81925288250037,41.012193308819754,16.564418886561327,95.36187762136588
MIH119_1046,13,3,1,Mo44_PHW65_0017/PHT69,Mo44_PHW65_0017/PHT69,WIPV17/30607,1.0,77.0,65.0,47.5,63.0,24.5,0.007016597414478821,2.4106146574543086,-0.7719249072441836,1.2850204131420147,46.37479473465784,62.916801049593275,42.55383289825223,14.275338034224957,100.01099254935698
MIH119_1047,12,3,1,Mo44_PHW65_0020/PHT69,Mo44_PHW65_0020/PHT69,WIPV17/30608,1.0,83.5,60.5,40.0,60.0,24.0,0.0779208050186971,1.897046252984265,-0.7070396338693522,1.5263730052750997,38.35373135371006,60.07420046599482,45.8437873958174,6.989495257242759,108.28448424269854
MIH119_1048,11,3,1,Mo44_PHW65_0024/PHT69,Mo44_PHW65_0024/PHT69,WIPV17/30610,1.0,60.0,58.5,32.5,64.5,16.5,0.3822879516917139,3.1101835822988813,-0.06206087626607528,2.5125359911763043,34.71481061776005,50.66248612138967,54.288381000998825,29.25,101.68584734357215
MIH119_1050,9,3,1,Mo44_PHW65_0029/PHT69,Mo44_PHW65_0029/PHT69,WIPV17/30014,1.0,40.0,69.0,15.0,82.0,10.0,0.7629860845367263,1.5196153836158723,-4.261687047836999e-06,4.9782860076188,21.2231616984067,44.35234506837122,79.2059177557036,52.85706657520947,123.35293108367878
MIH119_1051,8,3,1,Mo44_PHW65_0031/PHT69,Mo44_PHW65_0031/PHT69,WIPV17/30015,1.0,60.0,65.5,39.0,66.0,20.0,0.02660299694213281,2.2429342713135467,-0.23016149665159102,2.402317387121051,41.4881792435027,56.443442668854026,51.12279044363444,32.73859499346243,95.34120772301026
MIH119_1052,7,3,1,Mo44_PHW65_0033/PHT69,Mo44_PHW65_0033/PHT69,WIPV17/30616,1.0,70.0,64.5,47.5,58.0,25.0,0.008399451601208432,2.405827595965267,-0.2699069450237933,1.7871998691093238,42.66244784292781,60.07541194168211,39.211256506819524,20.664510307176027,88.43665081742
MIH119_1053,6,3,1,Mo44_PHW65_0033/PHT69,Mo44_PHW65_0036/PHT69,WIPV17/30019,,60.0,52.0,30.0,55.0,15.0,0.03771919286349934,2.1547005383792524,-0.0037357688110266607,3.02501240006824,27.50000000000001,45.033320996790806,47.63139720814412,26.0,88.34658209298941
MIH119_1054,5,3,1,Mo44_PHW65_0034/PHT69,Mo44_PHW65_0034/PHT69,WIPV17/30017,1.0,72.5,56.5,40.0,54.5,21.5,0.11839853523264458,2.5439515011882374,-0.42979762862098336,2.816738820430274,35.03192472791639,53.90586244500177,41.7494221499843,16.744904052982697,92.54367322661136
MIH119_1055,4,3,1,Mo44_PHW65_0035/PHT69,Mo44_PHW65_0035/PHT69,WIPV17/30618,1.0,78.0,64.0,47.5,57.5,27.5,0.014673877276674062,2.1043423464927358,-0.31111457310680984,1.542364402490215,42.30889445233454,62.556055323854444,38.85770311622625,13.332379203497508,93.65091850418528
MIH119_1056,3,3,1,Mo44_PHW65_0042/PHT69,Mo44_PHW65_0042/PHT69,WIPV17/30021,1.0,63.0,71.5,44.5,68.0,35.0,0.5088981260633185,1.5354631303160837,-0.22555257733014994,1.694412276493051,47.68491197740363,63.53649820176488,48.474717733552545,32.5790458645772,92.77646943613601
MIH119_1059,5,4,1,Mo44_PHW65_0060/PHT69,Mo44_PHW65_0060/PHT69,WIPV17/30626,1.0,71.5,64.25,39.0,58.0,18.0,0.006339048322876791,2.4935165157277592,-0.0020950070797607586,3.0218422183734153,36.53571266689505,60.95252258289978,45.03465123931369,20.249510967222328,100.39348633089439
MIH119_1060,6,4,1,Mo44_PHW65_0063/PHT69,Mo44_PHW65_0063/PHT69,WIPV17/30627,1.0,50.0,65.5,26.5,75.5,18.0,0.33178413985925326,1.5357903835738644,-0.4984711471669606,1.9708904956948698,33.500690996959314,46.386637374162035,67.6319913192245,43.14631366339921,105.31826186012722
MIH119_1063,9,4,1,Mo44_PHW65_0073/PHT69,Mo44_PHW65_0073/PHT69,WIPV17/30632,1.0,67.5,66.0,42.5,56.5,25.0,0.03894269537584637,2.0187290484505778,-0.005914686881669122,3.439115604075793,38.15059633503971,60.81785895689665,41.60178767114799,25.474861722435243,89.7617658409849
MIH119_1064,10,4,1,Mo44_PHW65_0074/PHT69,Mo44_PHW65_0068/PHT69,WIPV17/30030,,67.5,69.0,40.0,56.5,22.0,0.03498112850140104,2.1181886211877616,-0.0006329673997830796,3.776232961899911,36.31749994728948,63.63693681925438,43.281511036222255,26.500922152412247,94.44700524873963
MIH119_1066,12,4,1,Mo44_PHW65_0084/PHT69,Mo44_PHW65_0083/PHT69,WIPV17/30635,,62.5,66.0,36.0,60.0,18.5,0.06655287787061337,2.230692830142702,-0.002821847402458587,3.8451454473380533,35.06833787213899,57.740522506229425,48.50477983129957,30.793577861895038,95.4881071530336
MIH119_1067,13,4,1,Mo44_PHW65_0084/PHT69,Mo44_PHW65_0084/PHT69,WIPV17/30636,1.0,79.5,62.5,47.5,54.25,25.0,0.12302049051694616,2.688583796987221,-0.2034953499246142,1.8288916099043067,39.985796428965884,61.27114031906172,35.97633884293453,11.316036991109229,92.08556483974932
MIH119_1068,14,4,1,Mo44_PHW65_0084/PHT69,Mo44_PHW65_0242/PHT69,WIPV17/30105,,60.0,60.0,39.0,61.0,19.5,0.04384403079593902,2.443179352111398,-0.8674055212663725,1.9130639150431406,38.43694936159379,51.85095068251691,47.35475087915836,29.73488276814202,89.12478753754147
MIH119_1069,15,4,1,Mo44_PHW65_0092/PHT69,Mo44_PHW65_0092/PHT69,WIPV17/30637,1.0,82.0,64.0,47.5,60.0,25.0,0.03065468532716024,2.4310641250135463,-0.47784542248111334,1.632925261813957,43.505460750061026,62.80298707965274,40.573562397636586,9.564786365269448,101.3698464409257
MIH119_1071,17,4,1,Mo44_PHW65_0098/PHT69,Mo44_PHW65_0098/PHT69,WIPV17/30639,1.0,79.0,57.5,42.5,59.5,26.5,0.05007578868926291,1.8544228294198555,-0.8623741103952349,1.3203577723711337,40.01463999259932,56.246173633456145,43.95885866243735,11.252927998414552,98.6300293113921
MIH119_1072,18,4,1,Mo44_PHW65_0099/PHT69,Mo44_PHW65_0099/PHT69,WIPV17/30640,1.0,85.0,61.0,44.5,51.5,23.5,0.014202543295850781,2.2830045543633806,-0.16771608864515647,1.807791933460278,36.07989214146334,60.76787658359648,36.746290748213994,5.316500307607148,96.32017605265459
MIH119_1073,19,4,1,Mo44_PHW65_0104/PHT69,Mo44_PHW65_0104/PHT69,WIPV17/30643,1.0,75.0,64.0,47.5,59.5,28.5,0.03348816317633744,2.0354994641838893,-0.41348486887151314,1.5527726439679232,43.69363918374142,61.606569527652894,40.30407626434935,16.417200288933802,92.80357236364587
MIH119_1074,20,4,1,Mo44_PHW65_0105/PHT69,Mo44_PHW65_0105/PHT69,WIPV17/30644,1.0,71.0,66.0,42.5,56.5,30.0,0.14742506406652922,1.5927070006901158,-0.32071387909289395,2.5559943552930937,37.829000477539665,62.32034389072473,41.89647598081014,21.23728760344909,92.7080818101602
MIH119_1075,21,4,1,Mo44_PHW65_0110/PHT69,Mo44_PHW65_0103/PHT69,WIPV17/30642,,87.0,75.0,50.0,44.0,25.0,0.003524714175679576,2.555723826860413,-3.391311695494165e-05,3.6266075427554,33.70595549723503,74.89721510659305,28.28265482620773,3.925196718220787,99.12761420791504
MIH119_1076,22,4,1,Mo44_PHW65_0110/PHT69,Mo44_PHW65_0110/PHT69,WIPV17/30645,1.0,69.5,66.0,39.0,55.0,25.0,0.09458900072341193,1.7374636994974981,-0.006343088564375902,2.9481407272331532,34.648039039376755,61.792076864513305,42.703568444225134,23.009973920404974,93.02722643054891
MIH119_1077,23,4,1,Mo44_PHW65_0113/PHT69,Mo44_PHW65_0113/PHT69,WIPV17/30647,1.0,88.0,66.0,43.0,51.0,27.0,0.056333675556803416,1.830163904595815,-0.0855104938013165,1.748502824397928,34.78191636318742,65.95979458326032,37.299038782577696,2.303366782365064,101.27113013840506
MIH119_1078,24,4,1,Mo44_PHW65_0115/PHT69,Mo44_PHW65_0115/PHT69,WIPV17/30648,1.0,69.5,62.0,42.0,55.5,22.5,0.035673183968607074,2.2263315345299657,-0.010210818863943514,2.619545877518848,37.12709363923176,57.98673627093494,41.207736595254126,21.615176312578114,89.37430055621122
MIH119_1079,25,4,1,Mo44_PHW65_0116/PHT69,Mo44_PHW65_0116/PHT69,WIPV17/30649,1.0,69.0,64.0,42.0,64.5,27.0,0.07918350655261319,1.7909430734646927,-0.38995819589541536,1.494073269807088,43.15892411014635,59.74004721128627,47.93284124329192,22.932055575730587,97.25311620440586
MIH119_1080,26,4,1,Mo44_PHW65_0118/PHT69,Mo44_PHW65_0118/PHT69,WIPV17/30050,1.0,74.5,73.0,51.0,59.5,28.0,0.019414231631677024,2.6355879579008654,-0.10060985591127854,2.280957310055796,45.88610049842582,70.25169152141098,37.65151048350944,18.587349669793753,97.5916149955354
MIH119_1081,27,4,1,Mo44_PHW65_0120/PHT69,Mo44_PHW65_0120/PHT69,WIPV17/30651,1.0,72.5,63.0,44.5,59.5,20.5,0.0036392390605665534,2.6639684050412127,-0.47297302604095837,2.238676802870152,41.68695274804553,60.14503050762599,42.452077074314786,18.5520294934838,96.8353089888277
MIH119_1084,30,4,1,Mo44_PHW65_0134/PHT69,Mo44_PHW65_0134/PHT69,WIPV17/30654,1.0,64.5,74.0,37.0,64.0,16.5,0.016573111267053815,3.1885495856364914,-0.00033853719143649917,4.169056088805723,38.439201530008845,66.79252470379396,50.86572185694273,31.848731673077552,107.84501171032429
MIH119_1085,30,5,1,Mo44_PHW65_0134/PHT69,Mo44_PHW65_0111/PHT69,WIPV17/30646,,81.5,69.0,52.5,63.5,26.5,0.0015283232750591923,2.640610214498794,-0.5413805198578157,1.3689663071038862,50.15738877140049,68.19936371397401,38.84449477503369,10.324801562641142,102.10376148529664
MIH119_1086,29,5,1,Mo44_PHW65_0136/PHT69,Mo44_PHW65_0136/PHT69,WIPV17/30656,1.0,60.0,54.0,35.0,66.0,19.0,0.03339573398846173,2.033550349099248,-0.8883880577573355,1.5621390757535405,37.85604479916904,46.76537180435968,54.064034923073464,27.0,97.960438245775
MIH119_1087,28,5,1,Mo44_PHW65_0139/PHT69,Mo44_PHW65_0139/PHT69,WIPV17/30657,1.0,80.0,56.0,40.0,45.0,30.0,0.2592363494852057,1.4533631938113547,-0.061619487508083576,1.8353598917912968,28.92544243589427,55.149234168683655,34.47199994035401,9.724297949348099,83.06480703502328
MIH119_1088,27,5,1,Mo44_PHW65_0139/PHT69,Mo44_PHW65_0121/PHT69,WIPV17/30652,,70.0,65.0,50.0,50.0,17.0,2.1654628280320947e-05,3.8980503589246536,-1.2138885484951694e-06,5.091528930987347,38.3022221559489,61.08002035108405,32.139380484326956,22.23130931616847,83.16708923651578
MIH119_1089,26,5,1,Mo44_PHW65_0144/PHT69,Mo44_PHW65_0144/PHT69,WIPV17/30659,1.0,81.5,64.5,43.5,38.5,24.5,0.2915828228412097,2.3517847348430347,-0.3935230319007619,3.251195741899229,27.363749942372657,63.82189761582287,26.65473920030773,9.180932923307475,86.27181729171251
MIH119_1090,25,5,1,Mo44_PHW65_0150/PHT69,Mo44_PHW65_0150/PHT69,WIPV17/30662,1.0,69.0,64.5,44.0,57.0,25.0,0.021819785505757323,2.1145222962691412,-0.8536274506732243,2.031918739854027,38.89693110742698,58.7307065066192,41.48397193067905,21.637638984481917,91.00261980078022
MIH119_1091,24,5,1,Mo44_PHW65_0151/PHT69,Mo44_PHW65_0147/PHT69,WIPV17/30661,,67.5,66.5,42.5,66.0,26.5,0.10561689123578837,1.904607779817554,-0.3140833476066712,1.7392290315554266,44.22491904131182,60.687602449308685,48.90867871174449,25.77339039817814,97.87389845479896
MIH119_1092,23,5,1,Mo44_PHW65_0151/PHT69,Mo44_PHW65_0151/PHT69,WIPV17/30663,1.0,77.5,72.0,38.0,55.0,19.5,0.019189510271223457,2.2097932938612184,-0.0018525377753432718,3.6906086037976307,33.73249270425326,70.32081848846164,43.34563713813972,15.142965682522288,109.61715158045081
MIH119_1094,21,5,1,Mo44_PHW65_0155/PHT69,Mo44_PHW65_0155/PHT69,WIPV17/30665,1.0,88.0,66.0,45.0,46.0,13.0,9.16219399359191e-06,4.331475874284154,-1.504482553196575e-06,4.791420856527433,32.526911934581186,65.95979458326032,32.526911934581186,2.303366782365064,104.37806484328092
MIH119_1096,19,5,1,Mo44_PHW65_0159/PHT69,Mo44_PHW65_0159/PHT69,WIPV17/30667,1.0,75.0,64.0,46.5,53.0,25.0,0.011846589551567059,2.263111572282644,-0.40638593413671686,2.4589875415922724,38.57581975375785,61.65168465987918,36.3183860706425,16.248828323275063,89.4468598932915
MIH119_1097,18,5,1,Mo44_PHW65_0163/PHT69,Mo44_PHW65_0164/PHT69,WIPV17/30670,,67.5,56.5,37.0,51.5,22.5,0.11280579676755562,1.8523200481618347,-0.12499072838197241,3.1785534681214913,30.9539079573754,51.67769693269811,41.14972231148826,21.61752374031932,84.19170180796182
MIH119_1099,16,5,1,Mo44_PHW65_0165/PHT69,Mo44_PHW65_0165/PHT69,WIPV17/30671,1.0,65.5,61.5,44.0,58.0,27.5,0.04162473294664812,1.9075254147979974,-0.09411212207216309,2.0030261440041772,40.13686916690568,55.96591552684143,41.56294472297686,25.49075210910869,84.04110014553575
MIH119_1101,14,5,1,Mo44_PHW65_0168/PHT69,Mo44_PHW65_0168/PHT69,WIPV17/30674,1.0,72.0,61.0,46.0,58.0,27.5,0.08341202498958483,2.1619933539306935,-0.9166233469265973,1.7260191301701928,41.72170841964177,58.065382960698564,40.29018548662184,18.57302257381669,90.74874868542194
MIH119_1102,13,5,1,Mo44_PHW65_0171/PHT69,Mo44_PHW65_0176/PHT69,WIPV17/30678,,76.0,70.0,46.0,56.0,28.0,0.029100797979258824,1.947549266814316,-0.00852580377866774,2.366298188378328,40.28302881896447,67.92070083931975,38.90086874570385,16.93453269197674,95.75920322886316
MIH119_1103,12,5,1,Mo44_PHW65_0171/PHT69,Mo44_PHW65_0171/PHT69,WIPV17/30675,1.0,72.5,65.0,45.5,53.5,25.0,0.030253664634972928,2.270534267858815,-0.07319144220679341,3.4579725649012927,38.11768874355473,59.49591494773638,37.53767514138286,19.59961158828845,86.43790709697988
MIH119_1104,11,5,1,Mo44_PHW65_0175/PHT69,Mo44_PHW65_0175/PHT69,WIPV17/30677,1.0,62.0,68.0,41.0,55.0,30.0,0.18766671019805656,1.5056487962435103,-1.0227205103535324e-05,4.3291852045947365,36.083246594477906,60.04043631440703,41.50902691225245,31.924066269440576,83.64751040235149
MIH119_1105,10,5,1,Mo44_PHW65_0177/PHT69,Mo44_PHW65_0177/PHT69,WIPV17/30679,1.0,77.0,66.0,51.5,57.5,29.5,0.00799310135364666,2.2242447242619834,-0.24897587223653878,1.6412623242766005,44.9764008867982,63.74519338302981,35.792568840743016,14.431069638869985,89.62404722416903
MIH119_1106,9,5,1,Mo44_PHW65_0178/PHT69,Mo44_PHW65_0178/PHT69,WIPV17/30680,1.0,64.5,66.5,42.0,59.5,20.5,0.008611946444188178,2.4195686881858856,-0.002243177351583637,3.8037957434130583,39.69824407797792,58.688218445577846,44.27191436773004,28.324172394158843,90.84225433290698
MIH119_1107,8,5,1,Mo44_PHW65_0179/PHT69,Mo44_PHW65_0179/PHT69,WIPV17/30681,1.0,64.0,66.5,45.5,50.0,24.5,0.012934950423873472,2.235173042887875,-2.858186485118351e-07,5.281283873155194,35.679514066858125,59.779827426792195,35.025456175047296,29.108026021719624,78.9010561722647
MIH119_1108,7,5,1,Mo44_PHW65_0180/PHT69,Mo44_PHW65_0180/PHT69,WIPV17/30682,1.0,73.0,64.0,47.5,54.5,24.0,0.004275155482906277,2.472018592746352,-0.04633395402808277,2.8836356161186765,40.128636446842464,60.747302740953884,36.80070194416662,18.572314263767375,87.75242850823291
MIH119_1109,6,5,1,Mo44_PHW65_0185/PHT69,Mo44_PHW65_0193/PHT69,WIPV17/30689,,72.5,56.5,45.0,54.0,22.5,0.008884512482818348,2.4459921699820906,-0.28930158643126175,1.866100014399616,38.18376618407356,53.36513903189857,38.18376618407356,17.031254476320868,84.65622602351247
MIH119_1111,4,5,1,Mo44_PHW65_0185/PHT69,Mo44_PHW65_0200/PHT69,WIPV17/30691,,50.5,62.5,36.5,63.5,19.5,0.04361950615420576,2.220946681081991,-1.060615234294924e-05,4.446106029050201,37.64763774155469,48.49596554661416,51.06119171875398,38.348761947196564,90.13301440088608
MIH119_1112,3,5,1,Mo44_PHW65_0188/PHT69,Mo44_PHW65_0188/PHT69,WIPV17/30686,1.0,62.0,66.0,42.5,56.0,20.0,0.009067954353908874,2.6380346883377372,-0.0015593596267176736,4.350823661758525,37.539766258446406,57.55226566945032,41.483984928284436,30.20774501916928,86.18935138255438
MIH119_1113,3,6,1,Mo44_PHW65_0191/PHT69,Mo44_PHW65_0191/PHT69,WIPV17/30688,1.0,75.0,67.0,52.5,56.0,28.0,0.031168976744383323,2.711226636459654,-0.11135394271703478,2.8334864063064904,44.465163049178166,64.42564739001061,33.95437652904915,17.443260718910807,87.13788836231626
MIH119_1114,4,6,1,Mo44_PHW65_0195/PHT69,Mo44_PHW65_0195/PHT69,WIPV17/30690,1.0,46.0,62.0,32.5,60.5,20.0,1.3745990546249873,1.873738709727311,-0.17191803751494955,3.4744258412257922,30.54955789344669,43.25432297148567,50.57158588836471,41.003852122681664,80.48525576071222
