,plot,Pass,Range,Rep,New_Pedigree,Old_Pedigree,Old_Source,Shared,RPlant.L1.End.Angle,RPlant.L1.End.Length,RPlant.L1.Mid.Angle,RPlant.L1.Mid.Length,RPlant.L1.Stem.Angle,A1,N1,A2,N2,a,b,c,d,total_blade_length,upblade_length,downblade_length,curled
11,MIH119_1012,14,2,1,B37/H95,B14A/H95,,,82.0,62.0,55.0,65.0,33.0,0.005958705197413733,2.1991550787238148,-0.39237197244609134,2.044974387993216,53.244882878784466,61.39662026197736,37.282468362817994,8.628732259524057,98.55320930487338,68.03241435869448,30.520794946178903,0.0
12,MIH119_1013,15,2,1,B37/MO17,B37/MO17,,1.0,50.0,61.0,30.0,69.0,17.0,0.0745280294287749,1.8884276397614113,-0.33634731795115813,1.6424175869706552,34.50000000000001,46.72871103025766,59.75575286112626,39.2100441908789,96.00526435025157,71.52581165676918,24.479452693482383,0.0
13,MIH119_1014,16,2,1,B37/MO17,B14A/MO17,,,72.0,71.0,55.0,64.0,35.0,0.011417650778318062,2.039606729161475,-0.1093699210605076,1.807059307036571,52.425730834495475,67.5250126569559,36.70889192646695,21.940206600621266,88.3843871193249,66.52749695863913,21.85689016068576,0.0
14,MIH119_1015,17,2,1,B37/MO17,B37/MO17,,1.0,60.0,78.0,50.0,71.0,35.0,0.05075548548635088,1.702000517791175,-0.155556333673085,1.4564181873348827,54.38915546144744,67.54998149518622,45.637920287744286,38.99999999999999,87.80257714631196,72.92763422339627,14.8749429229157,0.0
15,MIH119_1016,18,2,1,B37/MO17,B14A/MO17,,,80.0,53.0,35.0,46.0,15.0,0.023882885788115413,2.25,-0.03806884471161204,2.035662719463252,26.384516072148124,52.194810909647025,37.68099403729362,9.203353416347307,89.03405017329824,48.73067786186989,40.30337231142835,0.0
16,MIH119_1017,19,2,1,B37/OH43,B37/OH43,,1.0,65.0,71.0,45.0,68.0,30.0,0.058707690536999535,1.732050807568877,-0.28687463131657975,1.4856166128843733,48.083261120685236,64.34785287960214,48.08326112068523,30.00589658358966,94.84135273876669,70.09781767121426,24.743535067552425,0.0
17,MIH119_1018,20,2,1,B37/OH43,B14A/OH43,,,85.0,61.0,55.0,51.0,30.0,0.00659262559971227,2.25,-0.06560110718412741,2.003939846302675,41.776754258738585,60.767876583596475,29.252398253903348,5.316500307607148,85.48478113438966,53.493619079672534,31.991162054717144,0.0
18,MIH119_1019,21,2,1,B37/OH43,B37/OH43,,1.0,85.0,66.0,45.0,50.0,30.0,0.0735279168561381,1.732050807568877,-0.17030676328701178,1.5107456219618196,35.35533905932738,65.74885007405521,35.35533905932737,5.752279021345439,94.75358632624443,51.54251299353989,43.21107333270455,0.0
19,MIH119_1020,22,2,1,B37/OH43,B14A/OH43,,,90.0,52.0,45.0,55.0,20.0,0.01029651805624909,2.25,-0.21814372710141985,2.014278626581637,38.890872965260115,52.0,38.89087296526011,0.0,100.45354924501626,58.25200176508079,42.20154747993546,0.0
20,MIH119_1021,23,2,1,CG119/CG108,CG119/CG108,,1.0,80.0,60.0,45.0,56.0,25.0,0.014840623979511584,2.144506920509559,-0.096397439227542,1.92352508423811,39.59797974644666,59.088465180732484,39.597979746446654,10.418890660015819,95.52716089303718,59.00018072529513,36.52698016774206,0.0
21,MIH119_1022,24,2,1,CG119/CG108,LOCAL CHECK = LG5499VT2RIB,,,70.0,85.0,50.0,75.0,35.0,0.04883973825935422,1.7020005177911748,-0.20765134036567703,1.4545241080801696,57.45333323392335,79.87387276680222,48.209070726490445,29.07171218268184,106.947280548316,77.03623333457354,29.91104721374246,0.0
22,MIH119_1023,25,2,1,CG119/CG108,LOCAL CHECK = LG5499VT2RIB,,,90.0,46.0,40.0,48.0,35.0,0.6036281354814885,1.198358465723876,-2.7840129111110534,0.9496065414299574,30.85380526495389,46.0,36.770133269710946,0.0,87.96216407876206,48.188420055267,39.77374402349504,0.0
23,MIH119_1024,26,2,1,CG119/CG108,CG119/CG108,,1.0,65.0,68.0,40.0,58.0,25.0,0.06604601151696501,1.799454966056695,-0.10155848727225691,1.5788359431924488,37.28168136181928,61.62892951849219,44.43057770090073,28.73804179836756,89.51477787449241,60.05498839819977,29.459789476292638,0.0
24,MIH119_1025,27,2,1,CG44/CGR01,CG44/CGR01,,1.0,90.0,55.0,40.0,49.0,25.0,0.07557744621430453,1.7994549660566952,-0.2645494221694406,1.5694660147992272,31.496592874640427,55.0,37.536177712829925,0.0,95.93127859834371,50.73611088813428,45.19516771020943,0.0
25,MIH119_1026,28,2,1,CG44/CGR01,CG44/CGR01,,1.0,70.0,61.0,45.0,58.0,25.0,0.014256401381760975,2.144506920509559,-0.09951535298147049,1.9022664023111724,41.01219330881976,57.321249867940416,41.012193308819754,20.863228742865793,88.10019536410476,61.10733003691281,26.99286532719194,0.0
26,MIH119_1027,29,2,1,CGR01/CG44,PHW52/PHN82,,,90.0,68.0,50.0,42.0,40.0,0.19509455495181535,1.4202766254612063,-0.4041917012798035,1.1740634839843138,32.173866610997074,68.0,26.99707960683465,0.0,87.52722881580908,42.54329808193575,44.98393073387333,0.0
28,MIH119_1029,30,3,1,F42/OH43,F42/OH43,,,75.0,59.0,35.0,58.0,30.0,0.6774778076656656,1.2127950320219432,-1.4975238163134565,0.9693657567080298,33.26743330836068,56.98962375105503,47.51081856876152,15.270323661048725,98.27454506534053,58.24283379460202,40.031711270738505,0.0
29,MIH119_1030,29,3,1,F42/OH43,F42/H95,,1.0,60.0,64.0,35.0,57.0,30.0,0.6799897145891781,1.2127950320219432,-0.6838609151786298,0.9819185067786985,32.69385687200963,55.42562584220408,46.69166652447253,31.999999999999996,84.30576432461525,57.238647005039915,27.067117319575335,0.0
30,MIH119_1031,28,3,1,F42/OH43,F42/MO17,,,55.0,66.0,35.0,61.0,30.0,0.6702463697855771,1.212795032021943,-0.6805130035004949,0.9764958252240359,34.98816261741381,54.06403492307346,49.9682747016285,37.85604479916904,83.8530492258986,61.255394163288344,22.59765506261026,0.0
31,MIH119_1032,27,3,1,F42/OH43,F42/MO17,,,90.0,60.0,44.0,54.0,30.0,0.09043670878481294,1.672622022264792,-0.4096881601378389,1.462229053184916,37.511552004785855,60.0,38.84434921828716,0.0,101.01947350311232,55.4983132486669,45.52116025444541,0.0
32,MIH119_1033,26,3,1,F42/OH43,F42/H95,,,70.0,61.0,45.0,55.0,25.0,0.015149849353419086,2.144506920509559,-0.07047727263001743,1.902666761411511,38.890872965260115,57.321249867940416,38.89087296526011,20.863228742865793,84.7626673922078,57.9466060694863,26.81606132272151,0.0
33,MIH119_1034,25,3,1,F42/OH43,F42/OH43,,1.0,60.0,59.0,35.0,70.0,20.0,0.0471278847876014,1.9238044001630867,-0.4731871747115348,1.7028574210377623,40.15035054457323,51.095498823281886,57.34064310022943,29.499999999999996,103.40961291897824,72.90856702712998,30.50104589184825,0.0
34,MIH119_1035,24,3,1,H95/B14A,PHG39/PHN82,,,70.0,59.0,40.0,63.0,25.0,0.061821014087686935,1.7994549660566956,-0.3802642407004921,1.5907070856690952,40.49561941025198,55.4418646263686,48.260799916495614,20.179188456214455,97.66767044151351,65.23214257045838,32.43552787105512,0.0
35,MIH119_1036,23,3,1,H95/B14A,PHG39/PHN82,,,65.0,62.0,40.0,64.0,20.0,0.011438712151932779,2.25,-0.08992983519979202,2.0418390944490152,41.13840701993852,56.1910827962723,49.02684435961459,26.202332227923364,96.51289566724861,67.878606112233,28.634289555015616,0.0
36,MIH119_1037,22,3,1,Mo44/PHT69,Mo44/PHT69,,,65.0,57.0,45.0,60.0,25.0,0.01371383894712201,2.144506920509559,-0.24961406088011454,1.9330445570342678,42.42640687119285,51.65954386108905,42.426406871192846,24.08924091921987,84.4820642170258,63.21447934853049,21.2675848684953,0.0
37,MIH119_1038,21,3,1,Mo44/PHT69,Mo44/PHT69,,1.0,80.0,62.0,45.0,59.0,45.0,0.9999999999999998,1.0,-1.6005721208635841,1.0,41.71930009000631,61.058080686756895,41.7193000900063,10.766187015349681,95.4977210792912,59.0,36.49772107929118,0.0
38,MIH119_1039,20,3,1,Mo44_PHW65_0001/PHT69,Mo44_PHW65_0001/PHT69,WIPV17/30001,1.0,80.0,63.0,40.0,57.0,30.0,0.23289092722244886,1.4533631938113545,-0.6256590092458851,1.2232439909598078,36.638893752132745,62.04288843976911,43.66453325778175,10.939835193016611,99.52465779455565,57.899631955073254,41.62502583948238,0.0
39,MIH119_1040,19,3,1,Mo44_PHW65_0009/PHT69,Mo44_PHW65_0009/PHT69,WIPV17/30602,1.0,65.0,59.0,35.0,69.0,25.0,0.22568217507262006,1.5015999114836838,-1.1264634281068766,1.2668026267309453,39.57677410822218,53.47215943516235,56.52149105594044,24.93447744270127,104.879751163382,70.22433882204705,34.65541234133495,0.0
40,MIH119_1041,18,3,1,Mo44_PHW65_0011/PHT69,Mo44_PHW65_0010/PHT69,WIPV17/30603,,70.0,59.0,40.0,58.0,30.0,0.23106185481299174,1.4533631938113545,-0.7312174274627168,1.2077401793495322,37.28168136181928,55.4418646263686,44.43057770090073,20.179188456214455,89.33777858344399,58.91541497182893,30.42236361161505,0.0
41,MIH119_1042,17,3,1,Mo44_PHW65_0012/PHT69,Mo44_PHW65_0012/PHT69,WIPV17/30005,1.0,125.0,58.0,40.0,41.0,40.0,1.191753592594209,1.0000000000000002,-3.05698836041528,1.0,26.354291997148113,47.51081856876152,31.4078221678781,-33.26743330836067,109.04768392452559,41.0,68.04768392452557,0.0
42,MIH119_1043,16,3,1,Mo44_PHW65_0012/PHT69,Mo44_PHW65_0037/PHT69,WIPV17/30620,,70.0,61.0,30.0,64.0,20.0,0.2270681260569788,1.5862568277145446,-0.43344836863559755,1.3549601846737023,32.00000000000001,57.321249867940416,55.42562584220407,20.863228742865793,108.6002493011053,65.3099364107524,43.29031289035289,0.0
43,MIH119_1044,15,3,1,Mo44_PHW65_0015/PHT69,Mo44_PHW65_0015/PHT69,WIPV17/30606,1.0,75.0,64.0,40.0,53.0,30.0,0.24070127304183414,1.4533631938113547,-0.43970321913016863,1.2039891385535821,34.067743313386586,61.81925288250037,40.60035548530583,16.564418886561327,90.6955637554771,53.836499888050575,36.85906386742652,0.0
45,MIH119_1046,13,3,1,Mo44_PHW65_0017/PHT69,Mo44_PHW65_0017/PHT69,WIPV17/30607,1.0,70.0,63.0,45.0,64.0,25.0,0.012737376223681344,2.144506920509559,-0.15852410342687945,1.9003050005779676,45.254833995939045,59.200635109512234,45.25483399593904,21.54726902951713,95.96814012798953,67.42877797176588,28.53936215622364,0.0
46,MIH119_1047,12,3,1,Mo44_PHW65_0020/PHT69,Mo44_PHW65_0020/PHT69,WIPV17/30608,1.0,85.0,55.0,45.0,59.0,25.0,0.013980190010891739,2.144506920509559,-0.21756771076201567,1.9973931689182989,41.71930009000631,54.790708395046,41.7193000900063,4.793565851121199,102.4701854408659,62.16090469272167,40.30928074814424,0.0
47,MIH119_1048,11,3,1,Mo44_PHW65_0024/PHT69,Mo44_PHW65_0024/PHT69,WIPV17/30610,1.0,60.0,59.0,30.0,62.0,25.0,0.764575204733568,1.2381316478352093,-1.2345033178691767,0.9916422264724074,31.000000000000007,51.095498823281886,53.693575034635195,29.499999999999996,93.7316625246413,62.280513625986615,31.451148898654676,0.0
48,MIH119_1049,10,3,1,Mo44_PHW65_0025/PHT69,Mo44_PHW65_0025/PHT69,WIPV17/30011,1.0,60.0,61.0,35.0,66.0,30.0,0.65910389753857,1.2127950320219432,-1.668851213051033,0.9783594287289605,37.85604479916905,52.82754963085076,54.06403492307346,30.499999999999996,94.19557938158803,66.27632811109885,27.91925127048918,0.0
49,MIH119_1050,9,3,1,Mo44_PHW65_0029/PHT69,Mo44_PHW65_0029/PHT69,WIPV17/30014,1.0,90.0,63.0,50.0,49.0,30.0,0.017714087548006536,2.064177772475912,-0.08817295194364654,1.8158370808162774,37.536177712829925,63.0,31.496592874640424,0.0,93.22137437860212,51.24766295076836,41.97371142783376,0.0
50,MIH119_1051,8,3,1,Mo44_PHW65_0031/PHT69,Mo44_PHW65_0031/PHT69,WIPV17/30015,1.0,55.0,67.0,35.0,65.0,20.0,0.05046732667274321,1.9238044001630872,-0.1080793236045113,1.7157081900965208,37.282468362818,54.88318696736245,53.244882878784466,38.42962123552009,91.34897007018742,67.70081223947784,23.648157830709575,0.0
51,MIH119_1052,7,3,1,Mo44_PHW65_0033/PHT69,Mo44_PHW65_0033/PHT69,WIPV17/30616,1.0,80.0,71.0,50.0,56.0,30.0,0.015367564542456384,2.064177772475912,-0.05464906286046121,1.841520117486288,42.89848881466277,69.92135046386677,35.996106142446195,12.329020614352054,95.75439484686768,58.56875765802097,37.18563718884672,0.0
52,MIH119_1053,6,3,1,Mo44_PHW65_0033/PHT69,Mo44_PHW65_0036/PHT69,WIPV17/30019,,90.0,58.0,45.0,50.0,30.0,0.0735279168561381,1.732050807568877,-0.30475275338836794,1.5236601059232358,35.35533905932738,58.0,35.35533905932737,0.0,94.29462779068652,51.54251299353989,42.752114797146625,0.0
53,MIH119_1054,5,3,1,Mo44_PHW65_0034/PHT69,Mo44_PHW65_0034/PHT69,WIPV17/30017,1.0,70.0,51.0,40.0,55.0,30.0,0.23669289151772288,1.4533631938113545,-1.1505109830078393,1.2112574136423238,35.353318532759666,47.92432366008133,42.13244437154379,17.443027309609104,83.66329832101613,55.86806592156193,27.7952323994542,0.0
54,MIH119_1055,4,3,1,Mo44_PHW65_0035/PHT69,Mo44_PHW65_0035/PHT69,WIPV17/30618,1.0,80.0,63.0,50.0,56.0,30.0,0.015367564542456384,2.064177772475912,-0.11712628760900236,1.8176179177639031,42.89848881466277,62.04288843976911,35.996106142446195,10.939835193016611,91.24346505160426,58.56875765802097,32.67470739358328,0.0
55,MIH119_1056,3,3,1,Mo44_PHW65_0042/PHT69,Mo44_PHW65_0042/PHT69,WIPV17/30021,1.0,60.0,75.0,45.0,72.0,45.0,0.9999999999999999,1.0,-0.9552336839771812,1.0,50.91168824543143,64.9519052838329,50.91168824543142,37.49999999999999,91.41651554934775,72.00000000000001,19.416515549347743,0.0
57,MIH119_1058,4,4,1,Mo44_PHW65_0056/PHT69,Mo44_PHW65_0056/PHT69,WIPV17/30625,1.0,80.0,63.0,43.0,55.0,22.0,0.011552117795188303,2.25,-0.04793704227036363,2.0046539105154095,37.50990980343742,62.04288843976911,40.22445358905438,10.939835193016611,98.30601658928879,58.30194416513718,40.004072424151616,0.0
58,MIH119_1059,5,4,1,Mo44_PHW65_0060/PHT69,Mo44_PHW65_0060/PHT69,WIPV17/30626,1.0,73.0,69.5,40.0,61.0,18.0,0.012146182579929192,2.25,-0.029430880219486345,2.057205497034487,39.210044190878904,66.46318053943097,46.72871103025766,20.3198334782302,104.48410419193968,64.69679645072208,39.787307741217596,0.0
59,MIH119_1060,6,4,1,Mo44_PHW65_0063/PHT69,Mo44_PHW65_0063/PHT69,WIPV17/30627,1.0,35.0,78.0,25.0,83.0,18.0,0.45605082731119656,1.4351474027623847,-0.7360885466015185,1.20530580043806,35.077315724478055,44.7389620353816,75.22354632404195,63.893859454541364,98.84750163938229,83.89525944733124,14.952242192051038,0.0
60,MIH119_1061,7,4,1,Mo44_PHW65_0067/PHT69,Mo44_PHW65_0067/PHT69,WIPV17/30629,1.0,75.0,69.0,43.0,58.0,30.0,0.1116343922642663,1.6151635080148976,-0.24886594798167863,1.3918090020761222,39.55590488362491,66.64888201394571,42.41851469391189,17.85851411207393,96.43811638865876,59.43033279538484,37.00778359327392,0.0
61,MIH119_1062,8,4,1,Mo44_PHW65_0069/PHT69,Mo44_PHW65_0069/PHT69,WIPV17/30631,1.0,70.0,67.0,45.0,58.5,32.0,0.10702239503133672,1.600334529041051,-0.28211420141627835,1.3606723145665094,41.36574669941303,62.95940559265586,41.36574669941302,22.915349602819802,88.56877798698487,59.874454475000796,28.694323511984074,0.0
62,MIH119_1063,9,4,1,Mo44_PHW65_0073/PHT69,Mo44_PHW65_0073/PHT69,WIPV17/30632,1.0,65.0,72.0,45.0,57.0,30.0,0.06680285438659815,1.7320508075688772,-0.08081908769346619,1.493923376386694,40.305086527633215,65.2541606666388,40.30508652763321,30.42851484533036,85.78848485165149,58.75846481263548,27.03002003901601,0.0
63,MIH119_1064,10,4,1,Mo44_PHW65_0074/PHT69,Mo44_PHW65_0068/PHT69,WIPV17/30030,,65.0,72.0,40.0,63.0,25.0,0.061821014087686935,1.7994549660566956,-0.11083840609865911,1.5831793521282782,40.49561941025198,65.2541606666388,48.260799916495614,30.42851484533036,96.32281170175764,65.23214257045838,31.09066913129927,0.0
64,MIH119_1065,11,4,1,Mo44_PHW65_0084/PHT69,Mo44_PHW65_0080/PHT69,WIPV17/30634,,73.0,59.0,44.0,61.0,25.0,0.018735164527341547,2.0709262606321674,-0.19958641029760607,1.8518824921654533,42.37416059799884,56.4219806018191,43.87972782065771,17.249930578641465,95.15017765154172,64.05324649669251,31.096931154849212,0.0
65,MIH119_1066,12,4,1,Mo44_PHW65_0084/PHT69,Mo44_PHW65_0083/PHT69,WIPV17/30635,,55.0,71.0,32.0,62.0,20.0,0.1309450249744884,1.716814434480121,-0.0947700071259652,1.4946039706457763,32.854994382458706,58.15979514451842,52.57898196169841,40.72392698092427,91.97494217749741,63.76904378189935,28.205898395598073,0.0
66,MIH119_1067,13,4,1,Mo44_PHW65_0084/PHT69,Mo44_PHW65_0084/PHT69,WIPV17/30636,1.0,75.0,62.0,40.0,50.5,30.0,0.24603221882799234,1.4533631938113547,-0.40972544528299304,1.2115056678840317,32.46077428917024,59.88740122992223,38.68524437750839,16.046780796356288,87.00693517397833,51.2970423461614,35.70989282781693,0.0
67,MIH119_1068,14,4,1,Mo44_PHW65_0084/PHT69,Mo44_PHW65_0242/PHT69,WIPV17/30105,,65.0,62.0,38.0,57.0,24.0,0.08727026533902976,1.7547962480568813,-0.18092908508742767,1.5213639021005907,35.092704093562524,56.1910827962723,44.91661295558315,26.202332227923364,87.58393085189263,58.86333840270049,28.720592449192146,0.0
68,MIH119_1069,15,4,1,Mo44_PHW65_0092/PHT69,Mo44_PHW65_0092/PHT69,WIPV17/30637,1.0,75.0,70.0,40.0,64.0,25.0,0.06104756035060568,1.7994549660566954,-0.19153978508587036,1.5516879912012136,41.13840701993852,67.61480784023477,49.02684435961459,18.117333157176454,107.82985097025048,66.26757340491008,41.562277565340395,0.0
69,MIH119_1070,16,4,1,Mo44_PHW65_0093/PHT69,Mo44_PHW65_0093/PHT69,WIPV17/30038,1.0,90.0,71.0,50.0,43.0,40.0,0.19317471146655266,1.4202766254612063,-0.38264377570426605,1.1760688501524723,32.93991105411605,71.0,27.63986721652119,0.0,90.72383645977018,43.55623375055327,47.16760270921691,0.0
70,MIH119_1071,17,4,1,Mo44_PHW65_0098/PHT69,Mo44_PHW65_0098/PHT69,WIPV17/30639,1.0,75.0,62.0,40.0,64.0,23.0,0.03157896207671254,1.976794851270834,-0.17475623089998776,1.7877911980633918,41.13840701993852,59.88740122992223,49.02684435961459,16.046780796356288,106.02767029003672,66.91699959879162,39.11067069124509,0.0
71,MIH119_1072,18,4,1,Mo44_PHW65_0099/PHT69,Mo44_PHW65_0099/PHT69,WIPV17/30640,1.0,85.0,58.0,44.0,54.0,21.0,0.011154664834304934,2.25,-0.06690267575622956,2.0686599928860296,37.511552004785855,57.77929248932124,38.84434921828716,5.055033079364174,98.47266341495796,57.22019451445452,41.25246890050345,0.0
72,MIH119_1073,19,4,1,Mo44_PHW65_0104/PHT69,Mo44_PHW65_0104/PHT69,WIPV17/30643,1.0,70.0,63.0,45.0,64.0,30.0,0.061371836185320605,1.732050807568877,-0.4726627669212677,1.4857313663865153,45.254833995939045,59.200635109512234,45.25483399593904,21.54726902951713,93.9060497153075,65.97441663173107,27.931633083576425,0.0
73,MIH119_1074,20,4,1,Mo44_PHW65_0105/PHT69,Mo44_PHW65_0105/PHT69,WIPV17/30644,1.0,67.0,63.0,40.0,66.0,30.0,0.21791511389792254,1.4533631938113547,-0.9392627569262431,1.2088552475577408,42.4239822393116,57.99180576750374,50.55893324585255,24.616061094824243,97.40807006751638,67.0416791058743,30.366390961642068,0.0
75,MIH119_1076,22,4,1,Mo44_PHW65_0110/PHT69,Mo44_PHW65_0110/PHT69,WIPV17/30645,1.0,67.0,64.0,40.0,58.0,25.0,0.06604601151696501,1.799454966056695,-0.15713325651649787,1.5670092863188387,37.28168136181928,58.912310620956184,44.43057770090073,25.006792223313518,89.7334415123756,60.05498839819977,29.678453114175838,0.0
77,MIH119_1078,24,4,1,Mo44_PHW65_0115/PHT69,Mo44_PHW65_0115/PHT69,WIPV17/30648,1.0,73.0,63.0,40.0,55.0,25.0,0.06891063752762151,1.7994549660566952,-0.16228671584807652,1.5505447181325045,35.353318532759666,60.24719962567124,42.13244437154379,18.419417397532413,92.03259536139393,56.948695894844604,35.08389946654933,0.0
78,MIH119_1079,25,4,1,Mo44_PHW65_0116/PHT69,Mo44_PHW65_0116/PHT69,WIPV17/30649,1.0,70.0,64.0,42.0,65.0,30.0,0.1345208368769477,1.5595455520643564,-0.6112090850985115,1.3392453322391162,43.49348941332578,60.14032773029814,48.30441365603062,21.889289172842798,97.90845155419422,66.40525531121128,31.503196242982924,0.0
79,MIH119_1080,26,4,1,Mo44_PHW65_0118/PHT69,Mo44_PHW65_0118/PHT69,WIPV17/30050,1.0,80.0,82.0,55.0,54.0,39.0,0.03877033660166797,1.7636159126370385,-0.06591218989036979,1.5389347911992803,44.23421039160556,80.75423574700106,30.973127562956485,14.239150568688288,96.03290896393253,55.447413317788424,40.585495646144096,0.0
80,MIH119_1081,27,4,1,Mo44_PHW65_0120/PHT69,Mo44_PHW65_0120/PHT69,WIPV17/30651,1.0,70.0,54.0,45.0,57.0,23.0,0.00984691474281028,2.25,-0.16656437714361258,2.0788609292105593,40.305086527633215,50.74340152243906,40.30508652763321,18.46908773958611,85.57995715437362,60.37025637472011,25.20970077965351,0.0
81,MIH119_1082,28,4,1,Mo44_PHW65_0128/PHT69,Mo44_PHW65_0135/PHT69,WIPV17/30655,,80.0,67.0,46.0,61.0,30.0,0.048034261904040344,1.7935911162630085,-0.23784789922338898,1.5704694247298145,43.87972782065772,65.98211945181794,42.37416059799883,11.634427903684331,101.75342786504774,63.070840559167756,38.682587305879984,0.0
82,MIH119_1083,29,4,1,Mo44_PHW65_0128/PHT69,Mo44_PHW65_0128/PHT69,WIPV17/30653,1.0,90.0,67.0,55.0,55.0,45.0,0.1371471457685987,1.4281480067421144,-0.7805124779621112,1.1977131931421083,45.05336243589455,67.0,31.54670399930753,0.0,94.21688020378733,55.64679050171016,38.57008970207719,0.0
83,MIH119_1084,30,4,1,Mo44_PHW65_0134/PHT69,Mo44_PHW65_0134/PHT69,WIPV17/30654,1.0,65.0,75.0,42.0,65.0,25.0,0.03313723195362877,1.9309227042515134,-0.06791935572188043,1.7196987831575115,43.49348941332578,67.97308402774874,48.30441365603062,31.696369630552457,98.07782325472276,67.78256784336438,30.295255411358365,0.0
84,MIH119_1085,30,5,1,Mo44_PHW65_0134/PHT69,Mo44_PHW65_0111/PHT69,WIPV17/30646,,83.0,64.0,55.0,57.0,30.0,0.0057369037423558936,2.25,-0.08566347428234969,2.009026998648771,46.69166652447253,63.52295370504461,32.693856872009626,7.7996379779294385,91.21544732114705,59.78698603022224,31.42846129092482,0.0
85,MIH119_1086,29,5,1,Mo44_PHW65_0136/PHT69,Mo44_PHW65_0136/PHT69,WIPV17/30656,1.0,90.0,73.0,65.0,45.0,50.0,0.02405247314678648,1.7994549660566947,-0.0819421120128966,1.5686592271211521,40.783850416649244,73.0,19.017821778331474,0.0,83.8009463890476,45.82168120883228,37.97926518021531,0.0
87,MIH119_1088,27,5,1,Mo44_PHW65_0139/PHT69,Mo44_PHW65_0121/PHT69,WIPV17/30652,,90.0,65.0,51.0,44.0,32.0,0.025754171648196975,1.9762485594176542,-0.07091387745874707,1.740925795060135,34.19442230410672,65.0,27.69009720619285,0.0,88.4562231505651,45.78449169809131,42.67173145247379,0.0
88,MIH119_1089,26,5,1,Mo44_PHW65_0144/PHT69,Mo44_PHW65_0144/PHT69,WIPV17/30659,1.0,80.0,51.0,51.0,50.0,20.0,0.008346962470875421,2.25,-0.15030114465691097,2.0624974042107276,38.85729807284854,50.22519540362261,31.466019552491876,8.856057061013447,79.07829667227122,52.70174844255881,26.376548229712412,0.0
89,MIH119_1090,25,5,1,Mo44_PHW65_0150/PHT69,Mo44_PHW65_0150/PHT69,WIPV17/30662,1.0,55.0,61.0,40.0,69.0,20.0,0.010412157657653269,2.25,-0.5378405412760369,2.0301580078672545,44.352345068371214,49.9682747016285,52.85706657520948,34.988162617413806,92.41480125494374,73.1816222147512,19.233179040192535,0.0
