,plot,Pass,Range,Rep,New_Pedigree,Old_Pedigree,Old_Source,Shared,LPlantL1.End.Angle,LPlantL1.End.Length,LPlantL1.Mid.Angle,LPlantL1.Mid.Length,LPlantL1.Stem.Angle,A1,N1,A2,N2,a,b,c,d,length,curled
12,MIH119_1013,15,2,1,B37/MO17,B37/MO17,,1.0,36,69.0,25.0,72.0,13.0,0.06586841097601087,2.0198003712923183,-0.00019831855062372626,4.651413777496805,30.42851484533036,40.557182408180644,65.2541606666388,55.82217261187137,90.63428191329223,0.0
13,MIH119_1014,16,2,1,B37/MO17,B14A/MO17,,,57,69.0,48.0,59.0,25.0,0.0048502304826298775,2.381716224055729,-1.5161121096479209e-06,5.31699747981817,43.84554470316626,57.86826918823426,39.478705775172635,37.58009341603686,77.12612810952079,0.0
14,MIH119_1015,17,2,1,B37/MO17,B37/MO17,,1.0,64,50.0,61.0,61.0,25.0,6.150620333705112e-06,3.8687928961093028,0.0,0.0,53.35180213550314,44.93970231495835,29.57338683502656,21.91855733945387,116.28979324672946,1.0
15,MIH119_1016,18,2,1,B37/MO17,B14A/MO17,,,80,62.0,45.0,56.0,15.0,4.315947074766255e-05,3.732050807568878,-0.005765115154854483,2.7778427721010885,39.59797974644666,61.058080686756895,39.597979746446654,10.766187015349681,101.90131875214786,0.0
16,MIH119_1017,19,2,1,B37/OH43,B37/OH43,,1.0,70,60.0,55.0,53.0,34.0,0.010362491020256862,2.1173164920551293,-0.0674666743781413,1.94603751737632,43.41505834731657,56.381557247154504,30.39955112660544,20.521208599540124,72.1914785536346,0.0
17,MIH119_1018,20,2,1,B37/OH43,B14A/OH43,,,79,45.0,45.0,54.0,30.0,0.06949993122221865,1.732050807568877,-3.00608275862596,1.277679559118206,38.18376618407357,44.173223255144876,38.18376618407356,8.586404791944517,85.90662620554107,0.0
18,MIH119_1019,21,2,1,B37/OH43,B37/OH43,,1.0,55,70.0,37.0,69.0,15.0,0.0015488712050582341,2.8123020012329314,-0.000276992642446353,3.9466351507516446,41.525236597491336,57.34064310022943,55.10585019326321,40.15035054457322,99.61252790953215,0.0
19,MIH119_1020,22,2,1,B37/OH43,B14A/OH43,,,85,74.0,37.0,50.0,20.0,0.03470652913182727,2.070372736996004,-4.513250271508706e-05,3.5799863859503094,30.09075115760242,73.71840765878918,39.931775502364644,6.449524963326704,113.30652457612572,0.0
20,MIH119_1021,23,2,1,CG119/CG108,CG119/CG108,,1.0,80,72.0,50.0,57.0,23.0,0.0009101731462814638,2.8075955205920273,-0.0036850448928416185,2.6589595810790017,43.66453325778175,70.90615821687898,36.63889375213274,12.502668792018984,100.75816907927226,0.0
21,MIH119_1022,24,2,1,CG119/CG108,LOCAL CHECK = LG5499VT2RIB,,,35,74.0,35.0,74.0,23.0,0.12513040433159986,1.649585585458971,0.0,0.0,42.44465628997742,42.44465628997742,60.61725127738539,60.61725127738539,132.8631250775461,1.0
22,MIH119_1023,25,2,1,CG119/CG108,LOCAL CHECK = LG5499VT2RIB,,,50,42.0,20.0,61.0,16.0,1.2122852723091242,1.2693150521081138,-1.2925300854883504,1.3007736578028504,20.863228742865797,32.173866610997074,57.32124986794041,26.99707960683465,93.7141363883647,0.0
23,MIH119_1024,26,2,1,CG119/CG108,CG119/CG108,,1.0,75,60.0,45.0,48.0,28.0,0.044858927861399986,1.880726465346332,-0.007564925014864344,2.452998323493954,33.941125496954285,57.9555495773441,33.94112549695428,15.529142706151244,82.00092104796636,0.0
24,MIH119_1025,27,2,1,CG44/CGR01,CG44/CGR01,,1.0,72,56.0,45.0,62.0,20.0,0.0013516291697305046,2.747477419454622,-0.8441463986673658,1.5374098376058114,43.84062043356595,53.2591649125286,43.840620433565945,17.304951684997054,95.65047388959763,0.0
25,MIH119_1026,28,2,1,CG44/CGR01,CG44/CGR01,,1.0,58,64.0,40.0,70.0,20.0,0.008281940911148237,2.3054072893322783,-1.1039336186666548,1.2936919455878124,44.99513267805776,54.27507815401126,53.62311101832846,33.914832910925114,96.3505527625433,0.0
30,MIH119_1031,28,3,1,F42/OH43,F42/MO17,,,65,65.0,47.0,64.0,18.0,0.00013404832353295485,3.300411524624828,-0.05193344378804035,2.302572170643169,46.80663690362691,58.91000615738225,43.6478950439999,27.470187013145463,92.16945142613875,0.0
31,MIH119_1032,27,3,1,F42/OH43,F42/MO17,,,80,57.0,35.0,59.0,27.0,0.3822984205437343,1.3742346705242758,-0.6543184267800266,1.3120787705273975,33.84100974471173,56.134041921695854,48.32997061305051,9.897946127015029,104.41397708676894,0.0
32,MIH119_1033,26,3,1,F42/OH43,F42/H95,,,60,56.0,25.0,68.0,15.0,0.17850694986129217,1.7402838721929148,-0.048448866494364466,2.192844499607424,28.73804179836756,48.49742261192857,61.62892951849219,27.999999999999996,110.74966820018997,0.0
33,MIH119_1034,25,3,1,F42/OH43,F42/OH43,,1.0,70,74.0,40.0,68.0,25.0,0.058159345707139126,1.7994549660566954,-0.03217062159171732,2.068129441637661,43.70955745868468,69.53725393815722,52.09102213209051,25.309490606099484,109.47292665854002,0.0
34,MIH119_1035,24,3,1,H95/B14A,PHG39/PHN82,,,80,59.0,50.0,62.0,20.0,0.00012900048569505255,3.2743160852065145,-0.7577398389113337,1.5520413490608853,47.494755473376635,58.10365742772027,39.85283180056543,10.245242482348889,99.9852515438352,0.0
35,MIH119_1036,23,3,1,H95/B14A,PHG39/PHN82,,,64,70.0,40.0,64.0,15.0,0.00043183433126355844,3.131562456165916,-2.1595261724189175e-05,4.4312813032285066,41.13840701993852,62.91558324094169,49.02684435961459,30.68598027523542,102.91658138525742,0.0
36,MIH119_1037,22,3,1,Mo44/PHT69,Mo44/PHT69,,,80,56.0,40.0,58.0,18.0,0.0038843770700853555,2.582483120924141,-0.36021553486499497,1.5844588794002292,37.28168136181928,55.14923416868365,44.43057770090073,9.724297949348099,102.26912311976105,0.0
38,MIH119_1039,20,3,1,Mo44_PHW65_0001/PHT69,Mo44_PHW65_0001/PHT69,WIPV17/30001,1.0,89,57.0,54.0,55.0,28.0,0.0017488107428015125,2.588597904254346,-0.8502022183196218,1.428298041739393,44.49593469062211,56.9913186239143,32.328188876086024,0.9947871669251601,92.60866669162216,0.0
39,MIH119_1040,19,3,1,Mo44_PHW65_0009/PHT69,Mo44_PHW65_0009/PHT69,WIPV17/30602,1.0,70,65.0,40.0,66.0,18.0,0.0031660578847975416,2.5824831209241412,-0.0752282333284776,2.0269042510603703,42.4239822393116,61.080020351084045,50.55893324585255,22.231309316168467,106.61351532586902,0.0
40,MIH119_1041,18,3,1,Mo44_PHW65_0011/PHT69,Mo44_PHW65_0010/PHT69,WIPV17/30603,,45,65.0,30.0,56.0,17.0,0.08971507679376499,1.8884276397614113,-6.74016991666576e-07,5.242055701050862,28.000000000000007,45.96194077712559,48.49742261192856,45.961940777125584,76.49841178376992,0.0
41,MIH119_1042,17,3,1,Mo44_PHW65_0012/PHT69,Mo44_PHW65_0012/PHT69,WIPV17/30005,1.0,82,62.0,52.0,54.0,20.0,6.21494689302839e-05,3.5166107326703764,-0.051207578768424744,2.103164467041012,42.55258069476298,61.39662026197736,33.24571966758555,8.628732259524057,92.25107543557831,0.0
42,MIH119_1043,16,3,1,Mo44_PHW65_0012/PHT69,Mo44_PHW65_0037/PHT69,WIPV17/30620,,68,68.0,41.0,70.0,22.0,0.014024802956271483,2.1515601766180805,-0.33556385584586634,1.549336490461708,45.92413202933552,63.04850211054155,52.82967061559403,25.473248352282017,106.76634188633382,0.0
44,MIH119_1045,14,3,1,Mo44_PHW65_0015/PHT69,Mo44_PHW65_0023/PHT69,WIPV17/30009,,75,64.0,45.0,58.0,23.0,0.006503214799369612,2.3558523658237536,-0.055615515818019406,2.0050234297753735,41.01219330881976,61.81925288250037,41.012193308819754,16.564418886561327,95.36187762136588,0.0
45,MIH119_1046,13,3,1,Mo44_PHW65_0017/PHT69,Mo44_PHW65_0017/PHT69,WIPV17/30607,1.0,84,67.0,50.0,62.0,24.0,0.0012958186052762985,2.6767223943990577,-0.6903912615265716,1.3085503677546084,47.494755473376635,66.63296698967432,39.85283180056543,7.003407038932782,104.93853132589459,0.0
46,MIH119_1047,12,3,1,Mo44_PHW65_0020/PHT69,Mo44_PHW65_0020/PHT69,WIPV17/30608,1.0,82,66.0,35.0,61.0,23.0,0.14186142002650243,1.649585585458971,-0.10228413875883238,1.7543190052375452,34.98816261741381,65.35769253694365,49.9682747016285,9.18542466336432,115.08051543137844,0.0
47,MIH119_1048,11,3,1,Mo44_PHW65_0024/PHT69,Mo44_PHW65_0024/PHT69,WIPV17/30610,1.0,60,58.0,35.0,67.0,8.0,6.986498598875138e-07,4.982235516762553,-0.008630714940083032,3.243816577315298,38.429621235520095,50.229473419497445,54.88318696736245,28.999999999999996,108.55921629387753,0.0
49,MIH119_1050,9,3,1,Mo44_PHW65_0029/PHT69,Mo44_PHW65_0029/PHT69,WIPV17/30014,1.0,40,69.0,15.0,82.0,10.0,0.7629860845367263,1.5196153836158723,-4.2616870478369985e-06,4.9782860076188,21.2231616984067,44.352345068371214,79.2059177557036,52.85706657520948,123.35293108367878,0.0
50,MIH119_1051,8,3,1,Mo44_PHW65_0031/PHT69,Mo44_PHW65_0031/PHT69,WIPV17/30015,1.0,65,64.0,43.0,67.0,20.0,0.0027386672115224052,2.562064142464007,-0.459048754648388,1.5405967777112712,45.6938901241874,58.003698370345596,49.00069800848442,27.047568751404764,97.6976260816106,0.0
51,MIH119_1052,7,3,1,Mo44_PHW65_0033/PHT69,Mo44_PHW65_0033/PHT69,WIPV17/30616,1.0,60,58.0,45.0,60.0,20.0,0.0014313386599604807,2.747477419454622,-0.5049242923986202,1.5967599782758475,42.42640687119285,50.229473419497445,42.426406871192846,28.999999999999996,80.8606727325588,0.0
52,MIH119_1053,6,3,1,Mo44_PHW65_0033/PHT69,Mo44_PHW65_0036/PHT69,WIPV17/30019,,60,52.0,30.0,55.0,15.0,0.03771919286349934,2.1547005383792524,-0.003735768811026661,3.02501240006824,27.500000000000007,45.03332099679081,47.63139720814412,25.999999999999996,88.3465820929894,0.0
53,MIH119_1054,5,3,1,Mo44_PHW65_0034/PHT69,Mo44_PHW65_0034/PHT69,WIPV17/30017,1.0,75,62.0,40.0,54.0,13.0,0.00010417894756626985,3.6345398085651195,-2.3402638543122306e-05,4.307055558587651,34.71053092307312,59.88740122992223,41.36639992842481,16.046780796356288,101.31586349055647,0.0
54,MIH119_1055,4,3,1,Mo44_PHW65_0035/PHT69,Mo44_PHW65_0035/PHT69,WIPV17/30618,1.0,76,65.0,45.0,59.0,25.0,0.013980190010891739,2.144506920509559,-0.1184007369269355,1.76134461512988,41.71930009000631,63.069222207939774,41.7193000900063,15.724923213978402,96.91616428315743,0.0
55,MIH119_1056,3,3,1,Mo44_PHW65_0042/PHT69,Mo44_PHW65_0042/PHT69,WIPV17/30021,1.0,66,68.0,44.0,64.0,25.0,0.01779625212663698,2.0709262606321674,-0.04946351162423173,2.060883574749381,44.45813570937583,62.12109111969686,46.03774722167367,27.65809172915441,93.95767498488529,0.0
58,MIH119_1059,5,4,1,Mo44_PHW65_0060/PHT69,Mo44_PHW65_0060/PHT69,WIPV17/30626,1.0,70,59.0,38.0,55.0,18.0,0.00909166888638802,2.4045499105313772,-0.0034609562002652196,2.867611204891817,33.861381142911206,55.4418646263686,43.34059144836971,20.179188456214455,93.27602316659662,0.0
59,MIH119_1060,6,4,1,Mo44_PHW65_0063/PHT69,Mo44_PHW65_0063/PHT69,WIPV17/30627,1.0,65,53.0,28.0,68.0,18.0,0.20751745240730987,1.636433364385344,-0.9675056683962918,1.3172168586310915,31.92406626944058,48.034312712942445,60.040436314407025,22.39876787225707,110.66676555755114,0.0
62,MIH119_1063,9,4,1,Mo44_PHW65_0073/PHT69,Mo44_PHW65_0073/PHT69,WIPV17/30632,1.0,70,60.0,40.0,56.0,20.0,0.011082536365094585,2.305407289332278,-0.01182175192344163,2.5029210903714536,35.9961061424462,56.381557247154504,42.89848881466277,20.521208599540124,92.04441520080931,0.0
63,MIH119_1064,10,4,1,Mo44_PHW65_0074/PHT69,Mo44_PHW65_0068/PHT69,WIPV17/30030,,70,66.0,40.0,50.0,19.0,0.00814124291511514,2.4369222763188274,-2.7976716909146617e-06,4.5750088646427125,32.13938048432697,62.01971297186996,38.302222155948904,22.573329459494136,90.7079327493004,0.0
65,MIH119_1066,12,4,1,Mo44_PHW65_0084/PHT69,Mo44_PHW65_0083/PHT69,WIPV17/30635,,70,61.0,40.0,58.0,17.0,0.0021607307667383478,2.744571225805283,-0.005642161917384134,2.7812409125122044,37.28168136181928,57.321249867940416,44.43057770090073,20.863228742865793,96.56965237122122,0.0
66,MIH119_1067,13,4,1,Mo44_PHW65_0084/PHT69,Mo44_PHW65_0084/PHT69,WIPV17/30636,1.0,84,63.0,55.0,58.0,20.0,8.762205899987734e-06,3.9238044001630867,-0.38526362434755385,1.5593938493758055,47.51081856876152,62.65487940820122,33.26743330836067,6.5852931858621675,95.63372827231717,0.0
67,MIH119_1068,14,4,1,Mo44_PHW65_0084/PHT69,Mo44_PHW65_0242/PHT69,WIPV17/30105,,55,58.0,40.0,65.0,15.0,0.0004177962528482751,3.131562456165915,-1.7265134950094239,1.2939581396955417,41.781194629625055,47.51081856876152,49.79288880273357,33.26743330836067,89.20190550887227,0.0
68,MIH119_1069,15,4,1,Mo44_PHW65_0092/PHT69,Mo44_PHW65_0092/PHT69,WIPV17/30637,1.0,89,58.0,55.0,56.0,25.0,0.00026181030371480506,3.0626732839703967,-0.8804610477732966,1.4289135233161274,45.87251448018354,57.99116631907069,32.12028043565858,1.0122395733624436,94.24365438420057,0.0
70,MIH119_1071,17,4,1,Mo44_PHW65_0098/PHT69,Mo44_PHW65_0098/PHT69,WIPV17/30639,1.0,83,53.0,45.0,55.0,30.0,0.06857261530181327,1.7320508075688772,-1.0740717760748848,1.301425755876798,38.890872965260115,52.604946036990064,38.89087296526011,6.4590752004728165,92.08842897900914,0.0
71,MIH119_1072,18,4,1,Mo44_PHW65_0099/PHT69,Mo44_PHW65_0099/PHT69,WIPV17/30640,1.0,85,64.0,45.0,49.0,26.0,0.024147214755234323,2.0503038415792965,-0.028698014367559633,2.0529813896986555,34.64823227814083,63.756460677871715,34.648232278140824,5.577967535850123,94.51613778829834,0.0
72,MIH119_1073,19,4,1,Mo44_PHW65_0104/PHT69,Mo44_PHW65_0104/PHT69,WIPV17/30643,1.0,80,65.0,50.0,55.0,27.0,0.005604490167354272,2.338948120798902,-0.09779523421793103,1.7843306382236723,42.13244437154379,64.01250394579353,35.35331853275966,11.287131548350471,91.91269092266218,0.0
73,MIH119_1074,20,4,1,Mo44_PHW65_0105/PHT69,Mo44_PHW65_0105/PHT69,WIPV17/30644,1.0,75,69.0,45.0,47.0,30.0,0.0769350142351359,1.7320508075688772,-2.821231612040488e-05,3.764184815535005,33.23401871576774,66.64888201394571,33.23401871576773,17.85851411207393,87.84440498234909,0.0
74,MIH119_1075,21,4,1,Mo44_PHW65_0110/PHT69,Mo44_PHW65_0103/PHT69,WIPV17/30642,,87,75.0,50.0,44.0,25.0,0.0035247141756795755,2.5557238268604126,-3.391311695494165e-05,3.6266075427553996,33.70595549723503,74.89721510659304,28.282654826207725,3.925196718220787,99.12761420791503,0.0
75,MIH119_1076,22,4,1,Mo44_PHW65_0110/PHT69,Mo44_PHW65_0110/PHT69,WIPV17/30645,1.0,72,68.0,38.0,52.0,25.0,0.12313198992985885,1.6754724329383015,-9.749791975494773e-05,3.508125232563996,32.01439671693423,64.67184310807043,40.97655918754954,21.013155617496423,95.07370387113352,0.0
76,MIH119_1077,23,4,1,Mo44_PHW65_0113/PHT69,Mo44_PHW65_0113/PHT69,WIPV17/30647,1.0,88,66.0,43.0,51.0,27.0,0.05633367555680341,1.830163904595815,-0.0855104938013165,1.7485028243979281,34.78191636318742,65.95979458326032,37.299038782577696,2.303366782365064,101.27113013840503,0.0
77,MIH119_1078,24,4,1,Mo44_PHW65_0115/PHT69,Mo44_PHW65_0115/PHT69,WIPV17/30648,1.0,66,61.0,44.0,56.0,20.0,0.0024357304095926403,2.653208103003236,-0.003362153397146142,2.987793329889397,38.90086874570385,55.72627291619865,40.28302881896446,24.81093522762381,85.41440029129696,0.0
78,MIH119_1079,25,4,1,Mo44_PHW65_0116/PHT69,Mo44_PHW65_0116/PHT69,WIPV17/30649,1.0,68,64.0,42.0,64.0,24.0,0.023846176228278664,2.022340594865029,-0.28661433161012495,1.5726918801839493,42.82435880696693,59.339766692274395,47.561268830553225,23.97482197861837,96.48548539936124,0.0
79,MIH119_1080,26,4,1,Mo44_PHW65_0118/PHT69,Mo44_PHW65_0118/PHT69,WIPV17/30050,1.0,69,64.0,47.0,65.0,17.0,5.8126661686081766e-05,3.5075600031646923,-0.2001904167691958,1.866890270346248,47.53799060524608,59.74914729582091,44.3298934040624,22.935548770899217,97.80422835391819,0.0
80,MIH119_1081,27,4,1,Mo44_PHW65_0120/PHT69,Mo44_PHW65_0120/PHT69,WIPV17/30651,1.0,75,72.0,44.0,62.0,18.0,0.0006200910437078621,2.9720844442586722,-0.000888262543555737,3.1385807812888595,43.06881896845783,69.54665949281292,44.599067620996365,18.634971247381493,108.61423982208856,0.0
83,MIH119_1084,30,4,1,Mo44_PHW65_0134/PHT69,Mo44_PHW65_0134/PHT69,WIPV17/30654,1.0,64,73.0,32.0,63.0,8.0,8.990580478861026e-06,4.44617646702147,-3.33110673311209e-07,5.177194493303518,33.384913646691906,65.61196537983919,53.427030057854836,32.00109371560265,115.86628476994713,0.0
84,MIH119_1085,30,5,1,Mo44_PHW65_0134/PHT69,Mo44_PHW65_0111/PHT69,WIPV17/30646,,80,74.0,50.0,70.0,23.0,0.0006278336510568902,2.807595520592027,-0.49512536008517266,1.4109875438557085,53.62311101832846,72.87577372290339,44.99513267805775,12.849965147352844,113.56015012869513,0.0
85,MIH119_1086,29,5,1,Mo44_PHW65_0136/PHT69,Mo44_PHW65_0136/PHT69,WIPV17/30656,1.0,60,54.0,35.0,66.0,19.0,0.03339573398846173,2.033550349099248,-0.8883880577573355,1.5621390757535405,37.85604479916905,46.76537180435969,54.06403492307346,26.999999999999996,97.96043824577501,0.0
86,MIH119_1087,28,5,1,Mo44_PHW65_0139/PHT69,Mo44_PHW65_0139/PHT69,WIPV17/30657,1.0,80,56.0,40.0,45.0,30.0,0.25923634948520574,1.4533631938113547,-0.06161948750808358,1.8353598917912968,28.925442435894272,55.14923416868365,34.47199994035401,9.724297949348099,83.06480703502328,0.0
87,MIH119_1088,27,5,1,Mo44_PHW65_0139/PHT69,Mo44_PHW65_0121/PHT69,WIPV17/30652,,70,65.0,50.0,50.0,17.0,2.1654628280320947e-05,3.8980503589246536,-1.2138885484951696e-06,5.091528930987346,38.302222155948904,61.080020351084045,32.13938048432696,22.231309316168467,83.16708923651578,0.0
88,MIH119_1089,26,5,1,Mo44_PHW65_0144/PHT69,Mo44_PHW65_0144/PHT69,WIPV17/30659,1.0,83,78.0,36.0,27.0,29.0,0.5830382964187499,1.3107174167572966,-8.484771008302135e-09,5.121007448563912,15.870201811896775,77.41859982802312,21.843458848123582,9.505808785601504,91.91109439606998,0.0
89,MIH119_1090,25,5,1,Mo44_PHW65_0150/PHT69,Mo44_PHW65_0150/PHT69,WIPV17/30662,1.0,83,68.0,48.0,45.0,30.0,0.035200598901815566,1.9236373032060043,-0.0015786928848049947,2.702519305096734,33.44151714648274,67.4931383116099,30.11087728614862,8.287115351550028,89.80000924497915,0.0
90,MIH119_1091,24,5,1,Mo44_PHW65_0151/PHT69,Mo44_PHW65_0147/PHT69,WIPV17/30661,,60,71.0,40.0,76.0,30.0,0.2044136746036668,1.4533631938113545,-0.5758291221852885,1.4488848891787545,48.85185833617699,61.48780366869515,58.21937767704233,35.49999999999999,103.53860817593585,0.0
91,MIH119_1092,23,5,1,Mo44_PHW65_0151/PHT69,Mo44_PHW65_0151/PHT69,WIPV17/30663,1.0,75,62.0,35.0,57.0,18.0,0.025441267144310005,2.1550172129540357,-0.003704597344077169,2.7310633340363655,32.69385687200963,59.88740122992223,46.69166652447253,16.046780796356288,104.52332601699611,0.0
93,MIH119_1094,21,5,1,Mo44_PHW65_0155/PHT69,Mo44_PHW65_0155/PHT69,WIPV17/30665,1.0,88,66.0,45.0,46.0,13.0,9.16219399359191e-06,4.331475874284153,-1.504482553196575e-06,4.791420856527433,32.526911934581186,65.95979458326032,32.526911934581186,2.303366782365064,104.37806484328092,0.0
95,MIH119_1096,19,5,1,Mo44_PHW65_0159/PHT69,Mo44_PHW65_0159/PHT69,WIPV17/30667,1.0,70,61.0,48.0,61.0,25.0,0.004631888893574544,2.381716224055729,-0.8127170227081136,1.2885497557662609,45.33183435412105,57.321249867940416,40.81696698789035,20.863228742865793,88.30722835181953,0.0
96,MIH119_1097,18,5,1,Mo44_PHW65_0163/PHT69,Mo44_PHW65_0164/PHT69,WIPV17/30670,,75,55.0,36.0,54.0,25.0,0.19985999590701753,1.5580754793520062,-0.24997606775246203,1.5571638910514134,31.74040362379355,53.12592044589876,43.686917696247164,14.235047480638642,92.30017027672258,0.0
98,MIH119_1099,16,5,1,Mo44_PHW65_0165/PHT69,Mo44_PHW65_0165/PHT69,WIPV17/30671,1.0,66,63.0,49.0,58.0,34.0,0.06043731885348141,1.7054912999560383,-0.1665066663748424,1.643998861179598,43.77315565292078,57.55336383148386,38.05142368144942,25.62440851377541,78.63474328967855,0.0
100,MIH119_1101,14,5,1,Mo44_PHW65_0168/PHT69,Mo44_PHW65_0168/PHT69,WIPV17/30674,1.0,74,69.0,46.0,55.0,35.0,0.16592309657464901,1.4788905535610382,-0.027496066737677433,1.9920564374946466,39.563689018625816,66.327057019744,38.20621037524485,19.01897755137294,90.10338368490976,0.0
101,MIH119_1102,13,5,1,Mo44_PHW65_0171/PHT69,Mo44_PHW65_0176/PHT69,WIPV17/30678,,76,70.0,46.0,56.0,28.0,0.029100797979258828,1.947549266814316,-0.00852580377866774,2.366298188378328,40.28302881896447,67.92070083931975,38.900868745703846,16.93453269197674,95.75920322886316,0.0
102,MIH119_1103,12,5,1,Mo44_PHW65_0171/PHT69,Mo44_PHW65_0171/PHT69,WIPV17/30675,1.0,57,68.0,45.0,60.0,20.0,0.0014313386599604807,2.747477419454622,-3.4754661058938986e-06,5.316384737750259,42.42640687119285,57.02959862028884,42.426406871192846,37.035454381021836,81.79573356066825,0.0
103,MIH119_1104,11,5,1,Mo44_PHW65_0175/PHT69,Mo44_PHW65_0175/PHT69,WIPV17/30677,1.0,62,68.0,41.0,55.0,30.0,0.18766671019805659,1.5056487962435103,-1.0227205103535325e-05,4.329185204594737,36.083246594477906,60.04043631440703,41.50902691225245,31.924066269440576,83.64751040235149,0.0
104,MIH119_1105,10,5,1,Mo44_PHW65_0177/PHT69,Mo44_PHW65_0177/PHT69,WIPV17/30679,1.0,69,64.0,50.0,58.0,29.0,0.010690833878867172,2.1499803935562394,-0.07474973879319016,1.9263331714343583,44.43057770090073,59.74914729582091,37.281681361819274,22.935548770899217,82.7548288311712,0.0
105,MIH119_1106,9,5,1,Mo44_PHW65_0178/PHT69,Mo44_PHW65_0178/PHT69,WIPV17/30680,1.0,53,68.0,40.0,63.0,21.0,0.014788162478783715,2.185929273368535,-1.879777342769834e-05,4.903718212927928,40.49561941025198,54.30721468321591,48.260799916495614,40.92342157433928,83.94986544575045,0.0
106,MIH119_1107,8,5,1,Mo44_PHW65_0179/PHT69,Mo44_PHW65_0179/PHT69,WIPV17/30681,1.0,65,69.0,46.0,53.0,24.0,0.0077340520437252265,2.3258391652661907,-2.5321596742090906e-07,5.391089602276011,38.12500941794851,62.535237305528845,36.81689363432685,29.16066006010826,83.5344065839407,0.0
107,MIH119_1108,7,5,1,Mo44_PHW65_0180/PHT69,Mo44_PHW65_0180/PHT69,WIPV17/30682,1.0,66,64.0,45.0,55.0,21.0,0.0028064212205482155,2.6050890646938027,-9.698164666020021e-05,3.965660775806314,38.890872965260115,58.466909289126455,38.89087296526011,26.03114515685121,85.13216792249291,0.0
108,MIH119_1109,6,5,1,Mo44_PHW65_0185/PHT69,Mo44_PHW65_0193/PHT69,WIPV17/30689,,65,58.0,45.0,56.0,20.0,0.0016147394578517795,2.747477419454622,-0.035506860211304545,2.361702935727215,39.59797974644666,52.565851648125694,39.597979746446654,24.511859180960567,81.88517856459887,0.0
110,MIH119_1111,4,5,1,Mo44_PHW65_0185/PHT69,Mo44_PHW65_0200/PHT69,WIPV17/30691,,59,71.0,39.0,61.0,25.0,0.08408678039985669,1.7365874633048353,-1.060615234294924e-05,4.446106029050201,38.38854385404009,60.858878349849974,47.40590364887522,36.567703318613844,90.13301440088607,0.0
