,plot,Pass,Range,Rep,New_Pedigree,Old_Pedigree,Old_Source,Shared,RPlant.L1.End.Angle,RPlant.L1.End.Length,RPlant.L1.Mid.Angle,RPlant.L1.Mid.Length,RPlant.L1.Stem.Angle,A1,N1,A2,N2,a,b,c,d,length,curled
96,MIH119_1097,18,5,1,Mo44_PHW65_0163/PHT69,Mo44_PHW65_0164/PHT69,WIPV17/30670,,60,58.0,38.0,49.0,20.0,0.025751597628093686,2.1465646169716632,-5.389011482767208e-06,4.7999430451915694,30.167412290957255,50.229473419497445,38.61252692672937,28.999999999999996,76.08323333920106,0.0
97,MIH119_1098,17,5,1,Mo44_PHW65_0163/PHT69,Mo44_PHW65_0163/PHT69,WIPV17/30669,1.0,85,60.0,40.0,48.0,20.0,0.013552892457476266,2.3054072893322783,-0.006579546311448135,2.5189989310989342,30.85380526495389,59.771681885504734,36.770133269710946,5.22934456485949,97.0042392618104,0.0
98,MIH119_1099,16,5,1,Mo44_PHW65_0165/PHT69,Mo44_PHW65_0165/PHT69,WIPV17/30671,1.0,65,60.0,39.0,58.0,21.0,0.022812147039814823,2.1095595296399567,-0.021717577769483756,2.362053426828756,36.500582680890574,54.378467222199,45.0744657645043,25.357095704441967,89.44745700139296,0.0
99,MIH119_1100,15,5,1,Mo44_PHW65_0167/PHT69,Mo44_PHW65_0174/PHT69,WIPV17/30676,,70,60.0,53.0,62.0,21.0,5.164388722695764e-05,3.4570699531618674,-1.39073367630599,1.2929643850880719,49.51540162293215,56.381557247154504,37.31253143542699,20.521208599540124,86.4248112770527,0.0
100,MIH119_1101,14,5,1,Mo44_PHW65_0168/PHT69,Mo44_PHW65_0168/PHT69,WIPV17/30674,1.0,70,53.0,46.0,61.0,20.0,0.0009009534045206788,2.845096154300349,-1.8057506271155175,1.4599818228457393,43.87972782065772,49.803708901653145,42.37416059799883,18.127067596260442,91.39411368593412,0.0
102,MIH119_1103,12,5,1,Mo44_PHW65_0171/PHT69,Mo44_PHW65_0171/PHT69,WIPV17/30675,1.0,88,62.0,46.0,47.0,30.0,0.05907599060998538,1.7935911162630085,-0.14637940894748092,1.599560392052326,33.80897061591661,61.96223127518394,32.64894341157287,2.16376879555506,91.08008063329153,0.0
104,MIH119_1105,10,5,1,Mo44_PHW65_0177/PHT69,Mo44_PHW65_0177/PHT69,WIPV17/30679,1.0,85,68.0,53.0,57.0,30.0,0.0052953688284261445,2.298509054967727,-0.42320200567988736,1.3561914771188424,45.52222407269569,67.7412394702387,34.30345631966675,5.926590506840755,96.49326561716683,0.0
105,MIH119_1106,9,5,1,Mo44_PHW65_0178/PHT69,Mo44_PHW65_0178/PHT69,WIPV17/30680,1.0,76,65.0,44.0,56.0,20.0,0.0024357304095926403,2.653208103003236,-0.0044675569297395745,2.7038732738981888,38.90086874570385,63.069222207939774,40.28302881896446,15.724923213978402,97.73464322006348,0.0
106,MIH119_1107,8,5,1,Mo44_PHW65_0179/PHT69,Mo44_PHW65_0179/PHT69,WIPV17/30681,1.0,63,64.0,45.0,47.0,25.0,0.018135848804021713,2.144506920509559,-3.1842132960276105e-07,5.171478144034376,33.23401871576774,57.024417548055546,33.23401871576773,29.055391983330992,74.26770576058871,0.0
107,MIH119_1108,7,5,1,Mo44_PHW65_0180/PHT69,Mo44_PHW65_0180/PHT69,WIPV17/30682,1.0,80,64.0,50.0,54.0,27.0,0.005743889745264338,2.3389481207989014,-0.09257092640950534,1.8016104564310393,41.36639992842481,63.02769619278131,34.71053092307312,11.113483370683541,90.3726890939729,0.0
108,MIH119_1109,6,5,1,Mo44_PHW65_0185/PHT69,Mo44_PHW65_0193/PHT69,WIPV17/30689,,80,55.0,45.0,52.0,25.0,0.01615428550778492,2.144506920509559,-0.5430963126512189,1.3704970930720173,36.76955262170048,54.16442641567144,36.76955262170047,9.550649771681169,87.42727348242607,0.0
109,MIH119_1110,5,5,1,Mo44_PHW65_0185/PHT69,Mo44_PHW65_0185/PHT69,WIPV17/30684,1.0,80,76.0,47.0,69.0,27.0,0.012259599300846118,2.1046420960694485,-0.37108077169539655,1.4132148211060112,50.46340541172276,74.84538922892781,47.05788684431239,13.197261502686706,114.7471618452455,0.0
110,MIH119_1111,4,5,1,Mo44_PHW65_0185/PHT69,Mo44_PHW65_0200/PHT69,WIPV17/30691,,42,54.0,34.0,66.0,14.0,0.003152231908554839,2.7053058988591463,0.0,0.0,36.90673162906929,36.13305274337834,54.71647978863275,40.129820575779284,124.86997128545559,1.0
111,MIH119_1112,3,5,1,Mo44_PHW65_0188/PHT69,Mo44_PHW65_0188/PHT69,WIPV17/30686,1.0,52,64.0,40.0,64.0,15.0,0.00043183433126355844,3.131562456165916,-0.0031183816485732146,3.6039995718789393,41.13840701993852,50.4326882308302,49.02684435961459,39.40233442084213,85.5138615955594,0.0
112,MIH119_1113,3,6,1,Mo44_PHW65_0191/PHT69,Mo44_PHW65_0191/PHT69,WIPV17/30688,1.0,70,69.0,55.0,59.0,21.0,1.8339828905032935e-05,3.7204527551281332,-7.886701495623206e-05,4.1992328984148095,48.32997061305051,64.83879083422768,33.84100974471172,23.59938988947114,86.64183208115566,0.0
