,plot,Pass,Range,Rep,New_Pedigree,Old_Pedigree,Old_Source,Shared,RPlant.L2.End.Angle,RPlant.L2.End.Length,RPlant.L2.Mid.Angle,RPlant.L2.Mid.Length,RPlant.L2.Stem.Angle,A1,N1,A2,N2,a,b,c,d,length,curled
42,MIH119_1043,16,3,1,Mo44_PHW65_0012/PHT69,Mo44_PHW65_0037/PHT69,WIPV17/30620,,65,43.0,25.0,53.0,25.0,2.144506920509557,1.0000000000000002,-0.6010131062130848,1.3910520279455707,22.39876787225707,38.971234842575946,48.034312712942445,18.172585254850077,87.50968850983962,0.0
43,MIH119_1044,15,3,1,Mo44_PHW65_0015/PHT69,Mo44_PHW65_0015/PHT69,WIPV17/30606,1.0,80,46.0,35.0,42.0,30.0,0.7256453307695893,1.212795032021943,-0.37755785343694775,1.3907345701332756,24.09021032674394,45.30115663856157,34.40438586013766,7.987816172678795,76.47511640258861,0.0
45,MIH119_1046,13,3,1,Mo44_PHW65_0017/PHT69,Mo44_PHW65_0017/PHT69,WIPV17/30607,1.0,75,51.0,45.0,57.0,25.0,0.01454301770344096,2.144506920509559,-0.8968920982413903,1.5546761225030783,40.305086527633215,49.262217140742486,40.30508652763321,13.199771300228559,88.91671481556733,0.0
46,MIH119_1047,12,3,1,Mo44_PHW65_0020/PHT69,Mo44_PHW65_0020/PHT69,WIPV17/30608,1.0,65,65.0,30.0,57.0,25.0,0.7800384730759606,1.2381316478352096,-0.0008371063247077127,2.9787462292436233,28.500000000000007,58.91000615738225,49.363448015713,27.470187013145463,97.72893735284917,0.0
47,MIH119_1048,11,3,1,Mo44_PHW65_0024/PHT69,Mo44_PHW65_0024/PHT69,WIPV17/30610,1.0,55,47.0,20.0,63.0,20.0,2.7474774194546216,1.0,-0.5403331162293081,1.4446021665139046,21.547269029517135,38.50014608158261,59.20063510951223,26.958092508499163,99.88019221043928,0.0
49,MIH119_1050,9,3,1,Mo44_PHW65_0029/PHT69,Mo44_PHW65_0029/PHT69,WIPV17/30014,1.0,80,63.0,55.0,54.0,30.0,0.0026302461187254233,2.4736249084055615,-0.2377593277015498,1.5397137238080645,44.23421039160556,62.04288843976911,30.973127562956485,10.939835193016611,84.51336629060151,0.0
50,MIH119_1051,8,3,1,Mo44_PHW65_0031/PHT69,Mo44_PHW65_0031/PHT69,WIPV17/30015,1.0,65,45.0,45.0,54.0,25.0,0.015471371319153226,2.144506920509559,-4.987171182511707,1.408900423869261,38.18376618407357,40.783850416649244,38.18376618407356,19.017821778331474,76.26445834845762,0.0
51,MIH119_1052,7,3,1,Mo44_PHW65_0033/PHT69,Mo44_PHW65_0033/PHT69,WIPV17/30616,1.0,75,49.0,40.0,49.0,30.0,0.24941864151210558,1.4533631938113545,-0.7861976769978087,1.250320786605692,31.496592874640427,47.33036548816435,37.536177712829925,12.682133210023515,79.39913267148386,0.0
52,MIH119_1053,6,3,1,Mo44_PHW65_0033/PHT69,Mo44_PHW65_0036/PHT69,WIPV17/30019,,80,52.0,45.0,46.0,40.0,0.5128873690132264,1.19175359259421,-0.41686239834480254,1.37718766565927,32.526911934581186,51.21000315663482,32.526911934581186,9.029705238680377,76.54185058967444,0.0
53,MIH119_1054,5,3,1,Mo44_PHW65_0034/PHT69,Mo44_PHW65_0034/PHT69,WIPV17/30017,1.0,50,42.0,30.0,49.0,25.0,0.8086418588615828,1.2381316478352096,-0.7478735533755451,1.4855890891858754,24.500000000000007,32.173866610997074,42.43524478543749,26.99707960683465,66.69792159241214,0.0
54,MIH119_1055,4,3,1,Mo44_PHW65_0035/PHT69,Mo44_PHW65_0035/PHT69,WIPV17/30618,1.0,75,55.0,45.0,51.0,30.0,0.07246970597905143,1.7320508075688767,-0.468547870234425,1.3540232547602935,36.062445840513924,53.12592044589876,36.062445840513924,14.235047480638642,80.57064553199439,0.0
56,MIH119_1057,3,4,1,Mo44_PHW65_0050/PHT69,Mo44_PHW65_0050/PHT69,WIPV17/30623,1.0,85,56.0,47.0,43.0,22.0,0.003106877757977283,2.6542056961970824,-0.00937428652927751,2.4643022727970143,31.44820916962433,55.78690309313775,29.325929482687435,4.8807215938688575,83.24044288457613,0.0
57,MIH119_1058,4,4,1,Mo44_PHW65_0056/PHT69,Mo44_PHW65_0056/PHT69,WIPV17/30625,1.0,60,47.0,35.0,48.0,25.0,0.2707405732283502,1.5015999114836842,-0.15848979625580806,1.785567625201864,27.531668944850217,40.70319397786862,39.319298125871605,23.499999999999996,70.14939039977533,0.0
58,MIH119_1059,5,4,1,Mo44_PHW65_0060/PHT69,Mo44_PHW65_0060/PHT69,WIPV17/30626,1.0,62,51.0,30.0,52.0,15.0,0.0402429807266154,2.1547005383792524,-0.001036351038651637,3.3675312724165867,26.000000000000007,45.030327235805274,45.033320996790806,23.94304970208043,86.19566207335266,0.0
59,MIH119_1060,6,4,1,Mo44_PHW65_0063/PHT69,Mo44_PHW65_0063/PHT69,WIPV17/30627,1.0,30,42.0,18.0,55.0,10.0,0.2827472871126535,1.84271116608139,-2.2067886663467444,1.4250469873583784,16.99593469062211,21.000000000000004,52.30810839623344,36.373066958946424,72.66043735862061,0.0
60,MIH119_1061,7,4,1,Mo44_PHW65_0067/PHT69,Mo44_PHW65_0067/PHT69,WIPV17/30629,1.0,60,71.0,40.0,68.0,28.0,0.13419661120211424,1.5781168834174566,-0.0502298777880987,2.0153079110139664,43.70955745868468,61.48780366869515,52.09102213209051,35.49999999999999,94.96859048880663,0.0
61,MIH119_1062,8,4,1,Mo44_PHW65_0069/PHT69,Mo44_PHW65_0069/PHT69,WIPV17/30631,1.0,68,61.0,40.0,42.0,20.0,0.016133741806655867,2.3054072893322783,-1.1289587230322083e-07,5.382986099496347,26.997079606834653,56.558215128574034,32.173866610997074,22.851002198370633,77.6701051661561,0.0
62,MIH119_1063,9,4,1,Mo44_PHW65_0073/PHT69,Mo44_PHW65_0073/PHT69,WIPV17/30632,1.0,62,62.0,44.0,63.0,30.0,0.08152951595199787,1.6726220222647923,-0.6709255781121395,1.3292092212349835,43.763477338916836,54.742750757253475,45.31840742133502,29.10723689272523,84.5008326652617,0.0
63,MIH119_1064,10,4,1,Mo44_PHW65_0074/PHT69,Mo44_PHW65_0068/PHT69,WIPV17/30030,,65,59.0,40.0,54.0,21.0,0.017754496928799178,2.1859292733685347,-0.002681796244290705,2.9744366987584994,34.71053092307312,53.47215943516235,41.36639992842481,24.93447744270127,84.25346734841824,0.0
64,MIH119_1065,11,4,1,Mo44_PHW65_0084/PHT69,Mo44_PHW65_0080/PHT69,WIPV17/30634,,55,63.0,35.0,64.0,22.0,0.1017839593773068,1.7330744724858405,-0.03602452570615587,2.263482429591709,36.708891926466954,51.606578790206484,52.425730834495475,36.1353154901159,89.3861414978806,0.0
65,MIH119_1066,12,4,1,Mo44_PHW65_0084/PHT69,Mo44_PHW65_0083/PHT69,WIPV17/30635,,55,57.0,35.0,59.0,20.0,0.055190808443526716,1.9238044001630872,-0.04899331456669878,2.258034823249111,33.84100974471173,46.69166652447253,48.32997061305051,32.693856872009626,82.92592843920986,0.0
66,MIH119_1067,13,4,1,Mo44_PHW65_0084/PHT69,Mo44_PHW65_0084/PHT69,WIPV17/30636,1.0,88,58.0,50.0,56.0,25.0,0.00242205847991411,2.5557238268604126,-0.9326901330957714,1.3254488634986017,42.89848881466277,57.96466796710755,35.996106142446195,2.024170808745056,97.28590166950127,0.0
67,MIH119_1068,14,4,1,Mo44_PHW65_0084/PHT69,Mo44_PHW65_0242/PHT69,WIPV17/30105,,80,58.0,40.0,52.0,25.0,0.07207098669158735,1.7994549660566956,-0.13392320921207232,1.7072272011585898,33.42495570370005,57.118849674708066,39.834311042186854,10.071594304681959,93.02628664795466,0.0
68,MIH119_1069,15,4,1,Mo44_PHW65_0092/PHT69,Mo44_PHW65_0092/PHT69,WIPV17/30637,1.0,65,60.0,35.0,58.0,30.0,0.6774778076656656,1.2127950320219432,-0.14431254951685307,1.6505299611727675,33.26743330836068,54.378467222199,47.51081856876152,25.357095704441967,89.65756822898963,0.0
69,MIH119_1070,16,4,1,Mo44_PHW65_0093/PHT69,Mo44_PHW65_0093/PHT69,WIPV17/30038,1.0,75,62.0,45.0,53.0,35.0,0.21193243093789202,1.4281480067421146,-0.20610682340857286,1.4935155190351252,37.47665940288702,59.88740122992223,37.476659402887016,16.046780796356288,85.30357391801425,0.0
70,MIH119_1071,17,4,1,Mo44_PHW65_0098/PHT69,Mo44_PHW65_0098/PHT69,WIPV17/30639,1.0,70,59.0,40.0,63.0,21.0,0.014788162478783715,2.185929273368535,-0.660519047706044,1.3865407982661266,40.49561941025198,55.4418646263686,48.260799916495614,20.179188456214455,98.72868934286717,0.0
71,MIH119_1072,18,4,1,Mo44_PHW65_0099/PHT69,Mo44_PHW65_0099/PHT69,WIPV17/30640,1.0,81,51.0,47.0,48.0,30.0,0.04412261449952859,1.8573970902098464,-0.5677515917073549,1.3850415098359588,35.104977677720186,50.372105370352024,32.735921282999925,7.978157717051774,79.18222891455788,0.0
72,MIH119_1073,19,4,1,Mo44_PHW65_0104/PHT69,Mo44_PHW65_0104/PHT69,WIPV17/30643,1.0,60,58.0,40.0,62.0,30.0,0.22418016349357978,1.4533631938113547,-0.9697420187155761,1.260158248607066,39.85283180056544,50.229473419497445,47.494755473376635,28.999999999999996,84.29542604238152,0.0
73,MIH119_1074,20,4,1,Mo44_PHW65_0105/PHT69,Mo44_PHW65_0105/PHT69,WIPV17/30644,1.0,70,54.0,42.0,54.0,30.0,0.14922580924337273,1.5595455520643564,-0.6221546845568855,1.3237975012076448,36.13305274337834,50.74340152243906,40.129820575779284,18.46908773958611,81.51974540490085,0.0
75,MIH119_1076,22,4,1,Mo44_PHW65_0110/PHT69,Mo44_PHW65_0110/PHT69,WIPV17/30645,1.0,65,57.0,40.0,55.5,25.0,0.06841387267678335,1.7994549660566956,-0.10619279151196573,1.8603691516641863,35.674712337602934,51.65954386108905,42.51546659310328,24.08924091921987,82.80902373116758,0.0
76,MIH119_1077,23,4,1,Mo44_PHW65_0113/PHT69,Mo44_PHW65_0113/PHT69,WIPV17/30647,1.0,72,55.0,39.0,51.0,23.0,0.052989003952103264,1.9077316304087586,-0.040603933988577076,2.1034202233111254,32.09533994354171,52.30810839623344,39.63444403430551,16.995934690622107,85.06368260961126,0.0
77,MIH119_1078,24,4,1,Mo44_PHW65_0115/PHT69,Mo44_PHW65_0115/PHT69,WIPV17/30648,1.0,65,64.0,40.0,65.0,30.0,0.2194286913339751,1.4533631938113545,-0.46024872568522746,1.3997805348654435,41.781194629625055,58.003698370345596,49.79288880273357,27.047568751404764,94.31283441402854,0.0
78,MIH119_1079,25,4,1,Mo44_PHW65_0116/PHT69,Mo44_PHW65_0116/PHT69,WIPV17/30649,1.0,80,51.0,40.0,52.0,30.0,0.2427889103663997,1.4533631938113547,-0.5753465429410815,1.412801404272209,33.42495570370005,50.22519540362261,39.834311042186854,8.856057061013447,88.45808845847327,0.0
79,MIH119_1080,26,4,1,Mo44_PHW65_0118/PHT69,Mo44_PHW65_0118/PHT69,WIPV17/30050,1.0,57,59.0,45.0,63.5,25.0,0.012852228904607998,2.144506920509559,-1.7237327651918621,1.3158551898799211,44.90128060534577,49.48156350878002,44.90128060534576,32.13370306588659,80.52762233454175,0.0
80,MIH119_1081,27,4,1,Mo44_PHW65_0120/PHT69,Mo44_PHW65_0120/PHT69,WIPV17/30651,1.0,80,52.0,55.0,53.0,28.0,0.00121405272245375,2.6859557527115063,-1.4611806920383101,1.306436895513604,43.41505834731657,51.21000315663482,30.39955112660544,9.029705238680377,79.40733406293998,0.0
84,MIH119_1085,30,5,1,Mo44_PHW65_0134/PHT69,Mo44_PHW65_0111/PHT69,WIPV17/30646,,80,59.0,45.0,52.0,28.0,0.04180545770628993,1.8807264653463323,-0.2589039077743919,1.512710992759289,36.76955262170048,58.10365742772027,36.76955262170047,10.245242482348889,88.72172111774681,0.0
85,MIH119_1086,29,5,1,Mo44_PHW65_0136/PHT69,Mo44_PHW65_0136/PHT69,WIPV17/30656,1.0,65,53.0,30.0,51.0,20.0,0.2593981313100142,1.5862568277145448,-0.0030914655455167687,2.8441296598448815,25.500000000000007,48.034312712942445,44.167295593006365,22.39876787225707,86.09810801915764,0.0
88,MIH119_1089,26,5,1,Mo44_PHW65_0144/PHT69,Mo44_PHW65_0144/PHT69,WIPV17/30659,1.0,85,55.0,50.0,49.0,28.0,0.009318590985930988,2.2413625217635014,-0.5066881942645376,1.3920408467536043,37.536177712829925,54.790708395046,31.496592874640424,4.793565851121199,83.8410245528697,0.0
89,MIH119_1090,25,5,1,Mo44_PHW65_0150/PHT69,Mo44_PHW65_0150/PHT69,WIPV17/30662,1.0,70,62.0,45.0,60.0,23.0,0.006211057306252436,2.3558523658237536,-0.1652078417151541,1.757860161196301,42.42640687119285,58.26094248872632,42.426406871192846,21.20524888619146,91.2152673328644,0.0
90,MIH119_1091,24,5,1,Mo44_PHW65_0151/PHT69,Mo44_PHW65_0147/PHT69,WIPV17/30661,,70,56.0,50.0,59.0,20.0,0.00014440405249616803,3.274316085206515,-1.2898351445093579,1.3355631692502163,45.196622144019706,52.62278676401087,37.92446897150582,19.153128026237447,85.15847034277203,0.0
91,MIH119_1092,23,5,1,Mo44_PHW65_0151/PHT69,Mo44_PHW65_0151/PHT69,WIPV17/30663,1.0,80,68.0,55.0,45.0,32.0,0.006782178007089307,2.2855145677705573,-0.00011450206042907422,3.440596787712842,36.86184199300463,66.96692720483014,25.810939635797073,11.808076081351263,82.60452769971369,0.0
92,MIH119_1093,22,5,1,Mo44_PHW65_0154/PHT69,Mo44_PHW65_0154/PHT69,WIPV17/30664,1.0,75,56.0,45.0,53.5,25.0,0.01563696960711689,2.1445069205095586,-0.36149548672670223,1.4943721323713803,37.83021279348029,54.09184627218782,37.83021279348029,14.493866525741161,85.3023733361568,0.0
93,MIH119_1094,21,5,1,Mo44_PHW65_0155/PHT69,Mo44_PHW65_0155/PHT69,WIPV17/30665,1.0,85,63.0,55.0,51.5,20.0,1.2403449213312908e-05,3.9238044001630867,-0.01968312100301945,2.350529901359493,42.18633028088308,62.760265979779966,29.53918647207887,5.4908117931024645,90.89268742203649,0.0
95,MIH119_1096,19,5,1,Mo44_PHW65_0159/PHT69,Mo44_PHW65_0159/PHT69,WIPV17/30667,1.0,80,58.0,50.0,48.0,25.0,0.00307847294103747,2.5557238268604126,-0.037158542670795866,2.0997748140187165,36.770133269710946,57.118849674708066,30.853805264953884,10.071594304681959,81.91933806652405,0.0
96,MIH119_1097,18,5,1,Mo44_PHW65_0163/PHT69,Mo44_PHW65_0164/PHT69,WIPV17/30670,,88,45.0,52.0,44.0,33.0,0.02497935206339602,1.970937275141773,-0.93691971770853,1.4169583081169255,34.672473158695766,44.972587215859306,27.089104914328964,1.5704773516125436,73.48973343150799,0.0
98,MIH119_1099,16,5,1,Mo44_PHW65_0165/PHT69,Mo44_PHW65_0165/PHT69,WIPV17/30671,1.0,59,57.0,43.0,62.0,24.0,0.01780555261565416,2.094463175685645,-1.3503718662949418,1.3123169293837358,42.28389832387491,48.858536140020405,45.34392950038857,29.357170269873087,82.58108050490378,0.0
99,MIH119_1100,15,5,1,Mo44_PHW65_0167/PHT69,Mo44_PHW65_0174/PHT69,WIPV17/30676,,66,58.0,48.0,64.0,23.0,0.0017508920638314952,2.616439120573822,-1.1470534731188227,1.6674326081066386,47.56126883055323,52.98563654327085,42.82435880696693,23.590725298396407,89.007129970872,0.0
100,MIH119_1101,14,5,1,Mo44_PHW65_0168/PHT69,Mo44_PHW65_0168/PHT69,WIPV17/30674,1.0,83,55.0,59.0,53.0,39.0,0.01071331374744607,2.055214000434282,-1.1026014382825615,1.3216776164401747,45.429866937211955,54.590038340272706,27.29701797023287,6.702813887283111,77.52985747321604,0.0
102,MIH119_1103,12,5,1,Mo44_PHW65_0171/PHT69,Mo44_PHW65_0171/PHT69,WIPV17/30675,1.0,73,55.0,52.0,51.0,25.0,0.001241372230688996,2.7448436880863576,-0.19289511489917735,1.7371061903366913,40.18854843394282,52.59676157796696,31.398735241608573,16.08044375975052,75.1588260657418,0.0
104,MIH119_1105,10,5,1,Mo44_PHW65_0177/PHT69,Mo44_PHW65_0177/PHT69,WIPV17/30679,1.0,70,52.0,46.0,57.0,27.0,0.020886500741854237,2.0323426726144174,-1.2063680731699056,1.4038708240550957,41.00236861930312,48.86401628086724,39.59552711616284,17.785047452934773,83.03032408001106,0.0
105,MIH119_1106,9,5,1,Mo44_PHW65_0178/PHT69,Mo44_PHW65_0178/PHT69,WIPV17/30680,1.0,52,69.0,47.0,60.0,30.0,0.0364393713232576,1.8573970902098462,0.0,0.0,43.88122209715023,54.37274199886381,40.919901603749906,42.48064179747042,108.88694029276067,1.0
106,MIH119_1107,8,5,1,Mo44_PHW65_0179/PHT69,Mo44_PHW65_0179/PHT69,WIPV17/30681,1.0,86,54.0,50.0,49.0,24.0,0.0019226395784751166,2.6767223943990577,-0.6890330035593174,1.3228720995917485,37.536177712829925,53.86845871403051,31.496592874640424,3.7668495821827666,85.10749101416151,0.0
107,MIH119_1108,7,5,1,Mo44_PHW65_0180/PHT69,Mo44_PHW65_0180/PHT69,WIPV17/30682,1.0,67,57.0,47.0,61.0,27.0,0.014047398363013197,2.104642096069448,-1.3671253828024872,1.2850898269506927,44.6125757987694,52.4687766467891,41.60189996381241,22.2716743238886,85.02472544777163,0.0
108,MIH119_1109,6,5,1,Mo44_PHW65_0185/PHT69,Mo44_PHW65_0193/PHT69,WIPV17/30689,,80,42.0,46.0,46.0,25.0,0.013481751877042059,2.2207019243213115,-0.8787975411772077,1.5781188947269178,33.089630815577955,41.361925626512736,31.954285041113874,7.293223462011074,74.94791335886511,0.0
109,MIH119_1110,5,5,1,Mo44_PHW65_0185/PHT69,Mo44_PHW65_0185/PHT69,WIPV17/30684,1.0,80,65.0,54.0,58.0,33.0,0.009777802576207311,2.1194422961613895,-0.585568299254435,1.2901783627660068,46.92298567374695,64.01250394579353,34.09154463296344,11.287131548350471,89.28166586502151,0.0
110,MIH119_1111,4,5,1,Mo44_PHW65_0185/PHT69,Mo44_PHW65_0200/PHT69,WIPV17/30691,,67,52.0,40.0,55.0,22.0,0.02563114414414162,2.076844465833348,-0.6036565327394616,1.4197301593804725,35.353318532759666,47.8662523795269,42.13244437154379,20.318018681442233,83.26667658581688,0.0
111,MIH119_1112,3,5,1,Mo44_PHW65_0188/PHT69,Mo44_PHW65_0188/PHT69,WIPV17/30686,1.0,75,53.0,50.0,47.0,35.0,0.06780375462547343,1.702000517791175,-0.46052111422569453,1.3152694827965128,36.00408882659197,51.19406879332062,30.211017655267344,13.717409390433598,70.89641694318568,0.0
112,MIH119_1113,3,6,1,Mo44_PHW65_0191/PHT69,Mo44_PHW65_0191/PHT69,WIPV17/30688,1.0,66,48.0,35.0,51.0,19.0,0.04359347716501763,2.033550349099248,-0.13468154843400548,1.9051044348063269,29.252398253903355,43.85018196684484,41.776754258738585,19.523358867638407,81.10156021542898,0.0
113,MIH119_1114,4,6,1,Mo44_PHW65_0195/PHT69,Mo44_PHW65_0195/PHT69,WIPV17/30690,1.0,83,60.0,60.0,57.0,30.0,0.00023693455183733525,2.9999999999999996,-1.1563359594059484,1.2527982883788829,49.363448015713004,59.55276909847932,28.499999999999996,7.312160604308849,84.44044699052263,0.0
